site,year,albedo,genotype,plot_unique,plantID,density,block,plot,x,y,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest,seed_count,survived_to_flower,possible_neighbors,neighbors,prop_survived,new_neighbors,clim_dist,PC1,vwc_avg,temp_surv,temp_fecun
CH,2022,white,47,CH_1_4,CH_2022_395,lo,1,4,15,5,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.23469387755102042,0.23469387755102042,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_10_3,CH_2022_3882,hi,10,3,2,9,Y,154,FG,Y,NA,Y,FP,4,0.37,0.48,231,NA,231,Y,46,26,0.5979381443298969,58.28865979381443,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_9_4,CH_2022_3554,lo,9,4,14,3,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.010309278350515464,0,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_3_4,CH_2022_1130,lo,3,4,10,2,Y,NA,V1,Y,herbivory,Y,FB,0,0.077,0,0,physical_damage,0,N,3,0,0.031914893617021274,0.031914893617021274,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_8_3,CH_2022_3098,hi,8,3,8,10,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,47,18,0.3838383838383838,38.34343434343434,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,29,CH_6_3,CH_2022_2269,hi,6,3,9,7,Y,NA,V3,N,NA,N,NA,0,0,0,0,NA,0,N,62,41,0.5959595959595959,63.64646464646464,-3.8045822736362807,-3.0785365103170275,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_2_4,CH_2022_753,lo,2,4,13,3,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.336734693877551,0.336734693877551,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_5_3,CH_2022_1843,hi,5,3,3,5,Y,153,FG,Y,NA,Y,FB,5,0.57,0.28,122,NA,122,Y,77,23,0.37755102040816324,31.683673469387756,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_2_3,CH_2022_693,hi,2,3,3,10,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,46,27,0.5979381443298969,59.28865979381443,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_9_4,CH_2022_3552,lo,9,4,12,3,Y,NA,NA,N,resurrection,N,NA,0,0,0,0,NA,0,N,4,0,0.010309278350515464,0,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,29,CH_9_4,CH_2022_3550,lo,9,4,10,3,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.010309278350515464,0,-3.8045822736362807,-3.0785365103170275,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,29,CH_10_4,CH_2022_3909,lo,10,4,9,1,Y,154,FG,Y,herbivory,Y,FB,4,0.33,0.05,13,NA,13,Y,3,0,0.19387755102040816,0.19387755102040816,-3.8045822736362807,-3.0785365103170275,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_7_4,CH_2022_2738,lo,7,4,18,2,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,1,0.043010752688172046,1.043010752688172,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,29,CH_4_3,CH_2022_1487,hi,4,3,7,9,Y,164,FG,Y,NA,Y,FB,2,0.12,0.15,96,NA,96,Y,62,21,0.41,36.58,-3.8045822736362807,-3.0785365103170275,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,29,CH_8_3,CH_2022_3005,hi,8,3,5,1,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,58,24,0.3838383838383838,40.121212121212125,-3.8045822736362807,-3.0785365103170275,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_6_4,CH_2022_2318,lo,6,4,18,1,Y,165,FG,Y,herbivory,Y,FB,1,0.074,0,0,physical_damage,0,N,3,0,0.10204081632653061,0.10204081632653061,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,14,CH_8_4,CH_2022_3132,lo,8,4,12,2,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.10101010101010101,0,1.9403858839866852,2.6664316473059384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_5_4,CH_2022_1975,lo,5,4,15,4,Y,NA,V3+,Y,herbivory,Y,FB,0,0.07,0,0,physical_damage,0,N,4,0,0.02040816326530612,0,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_10_3,CH_2022_3834,hi,10,3,4,4,Y,154,FG,Y,herbivory,Y,FG_FB,2,0.1,0.08,39,NA,39,Y,78,51,0.5979381443298969,64.15463917525773,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_2_3,CH_2022_618,hi,2,3,8,2,Y,151,FG,Y,NA,Y,FG_FP,5,0.41,0.6,190,NA,190,Y,53,36,0.5979381443298969,64.10309278350516,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_2_3,CH_2022_658,hi,2,3,8,6,Y,151,FG,Y,NA,Y,FB,1,0.03,0.048,23,NA,23,Y,77,48,0.5979381443298969,61.75257731958763,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_1_3,CH_2022_290,hi,1,3,10,9,Y,160,FG,Y,resurrection,Y,FB,1,0.12,0.09,62,NA,62,Y,41,29,0.7551020408163265,73.55102040816325,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_10_4,CH_2022_3969,lo,10,4,9,4,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.19387755102040816,0,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_8_3,CH_2022_3083,hi,8,3,3,9,Y,NA,V3+,N,NA,N,NA,0,0,0,0,NA,0,N,55,22,0.3838383838383838,39.272727272727266,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_9_4,CH_2022_3509,lo,9,4,9,1,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.010309278350515464,0.010309278350515464,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_7_3,CH_2022_2638,hi,7,3,8,4,Y,154,FG,Y,NA,Y,FB,2,0.179,0.118,79,NA,79,Y,71,49,0.6767676767676768,68.62626262626263,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_8_4,CH_2022_3181,lo,8,4,1,5,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,2,0,0.10101010101010101,0.20202020202020202,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,74,CH_5_3,CH_2022_1821,hi,5,3,1,3,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,46,15,0.37755102040816324,35.38775510204081,-1.6979410408404274,-0.9718952775211741,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_4_3,CH_2022_1474,hi,4,3,4,8,Y,NA,V1,N,NA,N,NA,0,0,0,0,NA,0,N,71,31,0.41,42.89,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_10_4,CH_2022_3968,lo,10,4,8,4,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,4,1,0.19387755102040816,1,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_3_3,CH_2022_1056,hi,3,3,6,6,Y,172,FG,Y,NA,Y,FB,3,0.16,0.2,78,NA,78,Y,97,36,0.37755102040816324,37.13265306122449,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_5_3,CH_2022_1886,hi,5,3,6,9,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,67,25,0.37755102040816324,37.45918367346938,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_2_4,CH_2022_788,lo,2,4,8,5,Y,172,FG,Y,herbivory,Y,BS_FP,1,0.22,0.0019,1,NA,1,Y,3,1,0.336734693877551,1.336734693877551,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_9_4,CH_2022_3580,lo,9,4,20,4,Y,NA,V1,N,NA,N,NA,0,0,0,0,NA,0,N,3,1,0.010309278350515464,1.0103092783505154,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_6_3,CH_2022_2204,hi,6,3,4,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,52,34,0.5959595959595959,62.6060606060606,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_7_4,CH_2022_2747,lo,7,4,7,3,Y,NA,V3,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.043010752688172046,0,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_4_4,CH_2022_1514,lo,4,4,14,1,Y,NA,V3+,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.07291666666666667,0.07291666666666667,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,30,CH_7_4,CH_2022_2721,lo,7,4,1,2,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.043010752688172046,0.043010752688172046,-4.620119015786594,-3.894073252467341,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,38,CH_7_3,CH_2022_2683,hi,7,3,3,9,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,55,33,0.6767676767676768,63.45454545454545,-2.7202344772430824,-1.994188713923829,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_2_3,CH_2022_605,hi,2,3,5,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,57,40,0.5979381443298969,65.71134020618557,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,57,CH_2_4,CH_2022_717,lo,2,4,17,1,Y,NA,V3+,Y,herbivory,Y,FB,1,0.37,0,0,seed_drop,0,N,3,2,0.336734693877551,2.336734693877551,2.2004033892293053,2.9264491525485585,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_8_4,CH_2022_3139,lo,8,4,19,2,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,4,1,0.10101010101010101,1,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,75,CH_2_3,CH_2022_643,hi,2,3,3,5,Y,151,FG,Y,NA,Y,FG,2,0.104,0.137,56,NA,56,Y,77,49,0.5979381443298969,62.75257731958763,-2.443780215616067,-1.7177344522968137,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_7_3,CH_2022_2603,hi,7,3,3,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,46,33,0.6767676767676768,69.54545454545455,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,47,CH_2_4,CH_2022_711,lo,2,4,11,1,Y,160,FG,Y,herbivory,Y,BS_FG,1,0.32,0.12,57,NA,57,Y,3,1,0.336734693877551,1.336734693877551,1.9819242250451308,2.707969988364384,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_1_4,CH_2022_388,lo,1,4,8,5,Y,NA,V2,N,resurrection,N,NA,0,0,0,0,NA,0,N,3,1,0.23469387755102042,1.2346938775510203,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,75,CH_1_4,CH_2022_302,lo,1,4,2,1,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,3,2,0.23469387755102042,2.2346938775510203,-2.443780215616067,-1.7177344522968137,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,49,CH_8_4,CH_2022_3118,lo,8,4,18,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,1,0.10101010101010101,1.101010101010101,-2.2657393933023555,-1.539693629983102,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,65,CH_8_4,CH_2022_3178,lo,8,4,18,4,Y,NA,V1,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.10101010101010101,0,-3.790117554133696,-3.064071790814443,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_9_3,CH_2022_3478,hi,9,3,8,8,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,59,0,0,0,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_3_4,CH_2022_1115,lo,3,4,15,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,2,0,0.031914893617021274,0.06382978723404255,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,49,CH_6_4,CH_2022_2355,lo,6,4,15,3,Y,174,FG,Y,herbivory,Y,FB,4,0.22,0.012,3,physical_damage,3,Y,4,1,0.10204081632653061,1,-2.2657393933023555,-1.539693629983102,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,75,CH_9_4,CH_2022_3532,lo,9,4,12,2,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.010309278350515464,0,-2.443780215616067,-1.7177344522968137,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_4_3,CH_2022_1427,hi,4,3,7,3,Y,NA,NA,N,resurrection,N,NA,0,0,0,0,NA,0,N,71,27,0.41,38.89,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_5_4,CH_2022_1963,lo,5,4,3,4,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.02040816326530612,0,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_6_4,CH_2022_2351,lo,6,4,11,3,Y,165,FG,Y,herbivory,Y,FP,1,0.29,0,0,physical_damage,0,N,4,0,0.10204081632653061,0,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_5_3,CH_2022_1813,hi,5,3,3,2,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,55,20,0.37755102040816324,36.98979591836735,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,30,CH_2_3,CH_2022_680,hi,2,3,10,8,Y,151,FG,Y,NA,Y,FG_FP,2,0.062,0.036,31,NA,31,Y,46,29,0.5979381443298969,61.28865979381443,-4.620119015786594,-3.894073252467341,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,30,CH_3_4,CH_2022_1121,lo,3,4,1,2,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.031914893617021274,0.031914893617021274,-4.620119015786594,-3.894073252467341,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_6_3,CH_2022_2289,hi,6,3,9,9,Y,153,FG,Y,NA,Y,FB,2,0.21,0.16,81,NA,81,Y,48,30,0.5959595959595959,60.98989898989899,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,17,CH_3_3,CH_2022_1060,hi,3,3,10,6,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,57,23,0.37755102040816324,39.234693877551024,0.4697121233514395,1.1957578866706928,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,18,CH_7_4,CH_2022_2768,lo,7,4,8,4,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.043010752688172046,0,-2.126525639027461,-1.400479875708208,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,49,CH_9_4,CH_2022_3504,lo,9,4,4,1,Y,NA,NA,N,resurrection,N,NA,0,0,0,0,NA,0,N,3,0,0.010309278350515464,0.010309278350515464,-2.2657393933023555,-1.539693629983102,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,58,CH_9_3,CH_2022_3494,hi,9,3,4,10,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,48,0,0,0,2.2004033892293053,2.9264491525485585,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,30,CH_8_4,CH_2022_3196,lo,8,4,16,5,Y,NA,V2,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.10101010101010101,0.10101010101010101,-4.620119015786594,-3.894073252467341,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,18,CH_8_4,CH_2022_3122,lo,8,4,2,2,Y,154,FG,Y,herbivory,Y,FB,5,0.65,0,0,physical_damage,0,N,4,1,0.10101010101010101,1,-2.126525639027461,-1.400479875708208,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,18,CH_6_4,CH_2022_2368,lo,6,4,8,4,Y,NA,V0,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.10204081632653061,0,-2.126525639027461,-1.400479875708208,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,18,CH_5_3,CH_2022_1881,hi,5,3,1,9,Y,NA,V0,N,NA,N,NA,0,0,0,0,NA,0,N,39,11,0.37755102040816324,34.03061224489796,-2.126525639027461,-1.400479875708208,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,18,CH_4_3,CH_2022_1469,hi,4,3,9,7,Y,152,FG,Y,NA,Y,FB,1,0.049,0.015,5,NA,5,Y,62,19,0.41,34.58,-2.126525639027461,-1.400479875708208,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,49,CH_8_4,CH_2022_3130,lo,8,4,10,2,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.10101010101010101,0,-2.2657393933023555,-1.539693629983102,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,75,CH_1_3,CH_2022_300,hi,1,3,10,10,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,35,24,0.7551020408163265,73.08163265306122,-2.443780215616067,-1.7177344522968137,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,84,CH_6_4,CH_2022_2360,lo,6,4,20,3,Y,174,FG,Y,herbivory,Y,FP,1,0.35,0,0,physical_damage,0,N,3,1,0.10204081632653061,1.1020408163265305,-3.1748832903018225,-2.4488375269825693,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,31,CH_5_4,CH_2022_1946,lo,5,4,6,3,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,4,0,0.02040816326530612,0,-4.138583506179226,-3.4125377428599726,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,31,CH_3_4,CH_2022_1116,lo,3,4,16,1,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.031914893617021274,0.031914893617021274,-4.138583506179226,-3.4125377428599726,0.19541961063076924,3.5108082595639103,6.194087819013514
CH,2022,white,49,CH_10_4,CH_2022_3907,lo,10,4,7,1,Y,NA,V3+,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.19387755102040816,0.19387755102040816,-2.2657393933023555,-1.539693629983102,0.19541961063076924,3.5108082595639103,6.194087819013514
