"","Site","Date","Color","Temp_C"
"103","Balzor",2022-01-30,"Black",-1.2875000834465
"104","Balzor",2022-01-30,"White",-4.83749993890524
"105","Balzor",2022-01-31,"Black",0.974999986588955
"106","Balzor",2022-01-31,"White",-1.66249998379499
"107","Balzor",2022-02-01,"Black",-1.83749995753169
"108","Balzor",2022-02-01,"White",-3.9624999910593
"109","Balzor",2022-02-02,"Black",-2.06250005587935
"110","Balzor",2022-02-02,"White",-3.75000004470348
"111","Balzor",2022-02-03,"Black",-0.150000050663948
"112","Balzor",2022-02-03,"White",-2.18749993201345
"113","Balzor",2022-02-04,"Black",0.875000029802322
"114","Balzor",2022-02-04,"White",-2.48749995417893
"115","Balzor",2022-02-05,"Black",2.86249992251396
"116","Balzor",2022-02-05,"White",-1.72499999124557
"117","Balzor",2022-02-06,"Black",3.78750005364418
"118","Balzor",2022-02-06,"White",-1.93749997206032
"119","Balzor",2022-02-07,"Black",5.48750005941838
"120","Balzor",2022-02-07,"White",-0.924999978393316
"121","Balzor",2022-02-08,"Black",5.01249989122152
"122","Balzor",2022-02-08,"White",-0.474999979138374
"123","Balzor",2022-02-09,"Black",6.98749985732138
"124","Balzor",2022-02-09,"White",0.549999989569187
"125","Balzor",2022-02-10,"Black",6.94999992568046
"126","Balzor",2022-02-10,"White",1.63750001601875
"127","Balzor",2022-02-11,"Black",8.07500000670552
"128","Balzor",2022-02-11,"White",2.41249999124557
"129","Balzor",2022-02-12,"Black",6.97499988041818
"130","Balzor",2022-02-12,"White",1.42500002961606
"131","Balzor",2022-02-13,"Black",7.61250006873161
"132","Balzor",2022-02-13,"White",2.42500001378357
"133","Balzor",2022-02-14,"Black",7.91249997913837
"134","Balzor",2022-02-14,"White",4.08749995753169
"135","Balzor",2022-02-15,"Black",0.599999979138374
"136","Balzor",2022-02-15,"White",0.400000003166497
"137","Balzor",2022-02-16,"Black",0.312499981373549
"138","Balzor",2022-02-16,"White",0.212499998509884
"139","Balzor",2022-02-17,"Black",0.474999994039536
"140","Balzor",2022-02-17,"White",0.0249999966472387
"141","Balzor",2022-02-18,"Black",5.46250007301569
"142","Balzor",2022-02-18,"White",0.662500001490116
"143","Balzor",2022-02-19,"Black",7.78749987948686
"144","Balzor",2022-02-19,"White",3.42500003799796
"145","Balzor",2022-02-20,"Black",2.7875000834465
"146","Balzor",2022-02-20,"White",1.25000001210719
"147","Balzor",2022-02-21,"Black",-0.224999994039536
"148","Balzor",2022-02-21,"White",-0.0250000022351742
"149","Balzor",2022-02-22,"Black",-2.96250003855675
"150","Balzor",2022-02-22,"White",-2.36250002868474
"151","Balzor",2022-02-23,"Black",-3.19999998807907
"152","Balzor",2022-02-23,"White",-3.88749993685633
"153","Balzor",2022-02-24,"Black",-3.72500003594905
"154","Balzor",2022-02-24,"White",-4.59999995678663
"155","Balzor",2022-02-25,"Black",-1.69999998807907
"156","Balzor",2022-02-25,"White",-4
"157","Balzor",2022-02-26,"Black",1.97499996423721
"158","Balzor",2022-02-26,"White",-3.19999999925494
"159","Balzor",2022-02-27,"Black",4.86250004172325
"160","Balzor",2022-02-27,"White",0.062500074505806
"161","Balzor",2022-02-28,"Black",8.65000010281801
