"site_code","bioclim_1","bioclim_2","bioclim_3","bioclim_4","bioclim_5","bioclim_6","bioclim_7","bioclim_8","bioclim_9","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","NewSiteCode","PopNum","Latitude","Longitude","ibs_id","genotype","SNPmatrix_column"
"AAFC10",5.36381443424793,11.2525777221604,34.3563538427596,805.470407667606,24.2457849462366,-8.50675268817204,32.7525376344086,-3.64025896057348,15.00277520908,15.2963696535245,-4.33803348164627,512.205,59.3426666666667,28.2956666666667,27.587198801129,172.661333333333,93.2843333333333,118.975,150.049333333333,"AAFC10",118,49.71,-120.05,6,7,9
"AAFC2",8.12006749290805,10.1766718178929,31.4485045349994,829.649192082084,26.9705053763441,-5.38929032258065,32.3597956989247,-1.03898906810036,3.45666178764177,18.4626033452808,-1.89757130674294,483.371,55.4796666666667,27.1883333333333,26.0912334856086,158.370333333333,89.66,114.720666666667,139.223333333333,"AAFC2",112,49.94,-119.51,104,151,107
"AAFC4",4.16396461279729,12.8017762001872,37.230804798599,796.980363070982,23.5993333333333,-10.7855698924731,34.3849032258065,-4.90263578255675,-0.163723388715268,13.8913790322581,-5.57234328118839,439.417,51.2143333333333,24.2593333333333,26.8532126423343,143.878666666667,78.5863333333333,104.105,120.409333333333,"AAFC4",113,50.08,-120.65,1,1,4
"AAFC5",4.0805930084353,12.6133362936331,36.840918815135,796.577690697553,23.4918602150538,-10.7454408602151,34.2373010752688,-4.96825848267622,-0.252216377250443,13.8046833333333,-5.65507575598402,479.480333333333,55.4726666666667,27.9386666666667,25.5695056566647,152.958,86.405,119.535666666667,127.798,"AAFC5",114,50.09,-120.45,2,2,5
"AAFC6",7.48694238417466,11.9935233868025,34.8636185464783,835.035378870688,26.963440860215,-7.43781720430108,34.4012580645161,-2.06518697729988,3.14476953669862,17.6885894862605,-2.77452807381512,359.440666666667,43.8473333333333,17.8336666666667,29.5067971176692,122.659333333333,61.3916666666667,82.8646666666667,100.900666666667,"AAFC6",115,50.09,-120.75,3,3,6
"AAFC8",6.50524202836338,11.9590600353273,35.45901536925,814.917400410236,25.8286989247312,-7.8977311827957,33.7264301075269,-2.79713285543608,16.1069554958184,16.4178740143369,-3.49549078738281,479.577,61.5373333333333,24.7746666666667,31.9924940905071,177.572,84.2356666666667,96.8133333333333,151.788,"AAFC8",116,49.57,-120.55,4,5,7
"AAFC9",7.12812154223387,10.4040822761622,32.3881454646299,814.391879048341,25.8612688172043,-6.26184946236559,32.1231182795699,-1.87691063321386,2.49697368386979,17.2590465352449,-2.6342193268829,451.609666666667,55.477,26.8863333333333,26.7172830407165,139.393666666667,85.0746666666667,114.545333333333,122.680333333333,"AAFC9",117,49.62,-119.8,5,6,8
"Adler11",10.0309892351363,15.7037119688396,40.2461275926645,861.596202200658,31.8387311827957,-7.18045627240143,39.0191874551971,8.95403464755078,21.0723636200717,21.0723636200717,-0.245423107244381,362.449666666667,39.565,15.617,22.9496280290718,111.396333333333,61.1316666666667,61.1316666666667,98.426,"Adler11",122,38.83,-112.05,9,152,12
"Adler13",5.55866202486155,15.5301503883651,38.4336932438781,911.753907069706,28.3167741935484,-12.0908709677419,40.4076451612903,9.48588888888889,16.8771675029869,16.8771675029869,-5.72827507857054,320.232333333333,42.66,14.631,24.4333322274953,101.544666666667,64.3323333333333,64.3323333333333,70.895,"Adler13",123,41.44,-111.08,10,14,13
"Adler14",4.52325592950133,13.8396962246411,36.2434255083609,887.548981600558,26.0626129032258,-12.1227849462366,38.1853978494624,-6.25014497972468,15.6913920549582,15.6913920549582,-6.25014497972468,540.324333333333,61.4156666666667,15.6956666666667,32.4396398668171,171.391333333333,72.4263333333333,72.4263333333333,171.391333333333,"Adler14",124,41.81,-111.25,11,153,14
"Adler16",4.70319623398426,16.1051419097351,37.821268235565,959.93047880676,28.366247311828,-14.2159892473118,42.5822365591398,8.99181917562724,-7.14193907839987,16.6888287335723,-7.14193907839987,198.407,33.076,10.8953333333333,38.0539279381737,72.779,33.8493333333333,46.239,33.8493333333333,"Adler16",125,41.78,-110.2,12,16,15
"Adler17",5.5591606636342,15.3143853190052,37.6071640950502,932.643914405471,28.2846344086022,-12.4373548387097,40.7219892473118,9.58543841099164,-5.7916728771239,17.3236205495818,-5.7916728771239,214.861,31.6103333333333,9.05633333333333,34.7549449464887,75.1636666666667,31.7426666666667,53.9586666666667,31.7426666666667,"Adler17",126,41.44,-110.11,13,17,16
"Adler18",10.1341174432865,14.8324862530236,35.5459937192014,964.261622945565,33.6861397849462,-8.04144946236559,41.7275892473118,9.442,22.4691790919952,22.4691790919952,-1.38721469519337,177.132,26.495,7.445,35.7519118632897,64.8586666666667,27.99,27.99,42.3626666666667,"Adler18",127,40.86,-114.22,14,18,17
"Adler2",12.5058107964243,10.7880522502222,28.3382190947617,987.498215697923,34.0537096774194,-4.01520430107527,38.0689139784946,11.6005501792115,24.5096768219833,25.1790842293907,0.710671501109404,436.100666666667,63.0823333333333,13.8636666666667,35.8849890155504,145.584333333333,59.4596666666667,61.485,129.004666666667,"Adler2",119,41.05,-112.25,7,154,10
"Adler5",10.8625481283584,11.8347266463031,31.8892736043004,919.035455611194,31.9270215053763,-5.18491397849462,37.111935483871,9.81029611708483,22.6285834528076,22.6285834528076,-0.0924238545473807,618.289,85.546,16.9666666666667,39.5458974082578,224.994666666667,71.002,71.002,177.931666666667,"Adler5",121,40.79,-111.87,8,9,11
"Arcata1",12.9537469189752,9.94114968115661,52.3673825645407,346.708139094952,23.4661397849462,4.48266344086022,18.983476344086,8.96550822548275,17.4663878733572,17.4663878733572,8.96550822548275,1244.841,245.473333333333,4.01966666666667,81.5005026575369,631.622333333333,29.2773333333333,29.2773333333333,631.622333333333,"Arcata1",295,40.876563,-123.997177,125,155,128
"ArkansasValley_CO",6.26797089524074,17.3661310271995,43.2684242887604,835.005247721619,27.5617096774194,-12.5740967741935,40.1358064516129,16.0164875746714,-2.62224271206691,16.8221079450418,-3.8941056066117,280.005,43.794,11.248,47.0010564529485,112.766666666667,37.271,105.944333333333,37.292,"ArkansasValley_CO",253,38.8157,-106.08334,117,156,120
"Barnett1",4.02094565919805,15.4280033666155,38.0289142150858,899.90072934926,26.9364731182796,-13.6326666666667,40.5691397849462,-5.88839844683393,14.6612234169654,15.0806345280765,-7.12047710036431,636.383666666667,73.6513333333333,26.142,27.7114049645368,211.472,98.463,105.873333333333,207.51,"Barnett1",128,43.48,-110.74,15,19,18
"Baughman2",9.35233231349795,15.1501036696418,40.1033198495226,802.135553060603,31.8519569892473,-5.92572258064516,37.7776795698925,8.08974050179211,19.5521677419355,19.6171381123059,0.105998788041975,368.269666666667,51.4216666666667,4.80866666666667,50.413924849394,132.991333333333,21.4913333333333,38.727,117.706666666667,"Baughman2",129,43.05,-118.87,16,21,19
"Baughman3",9.09635399801219,14.6398681714986,39.6365400868229,790.280184149894,31.089,-5.84628279569892,36.9352827956989,7.58968954599761,19.2705975507766,19.2727401433692,0.123484271618671,439.454,57.9,5.209,50.8045868380399,156.993333333333,24.687,44.4893333333333,143.700666666667,"Baughman3",130,42.81,-118.96,17,20,20
"Baughman5",7.63755633033618,14.3770801301122,41.2188582221073,728.209238972192,28.4766451612903,-6.40321505376344,34.8798602150538,5.92749002389486,17.1105913381123,17.1105913381123,-0.50534361533391,395.088666666667,50.2746666666667,5.55366666666667,49.9733330869726,142.857666666667,26.303,26.303,135.514333333333,"Baughman5",131,42.72,-120.08,18,157,21
