"data_column","site_clean","bioclim_1","bioclim_2","bioclim_3","bioclim_4","bioclim_5","bioclim_6","bioclim_7","bioclim_8","bioclim_9","bioclim_10","bioclim_11","bioclim_12","bioclim_13","bioclim_14","bioclim_15","bioclim_16","bioclim_17","bioclim_18","bioclim_19","genotype","Latitude","Longitude","SNPmatrix_column","source"
"AAFC04","AAFC4",4.16396461279729,12.8017762001872,37.230804798599,796.980363070982,23.5993333333333,-10.7855698924731,34.3849032258065,-4.90263578255675,-0.163723388715268,13.8913790322581,-5.57234328118839,439.417,51.2143333333333,24.2593333333333,26.8532126423343,143.878666666667,78.5863333333333,104.105,120.409333333333,1,50.08,-120.65,4,"genotype"
"AAFC05","AAFC5",4.0805930084353,12.6133362936331,36.840918815135,796.577690697553,23.4918602150538,-10.7454408602151,34.2373010752688,-4.96825848267622,-0.252216377250443,13.8046833333333,-5.65507575598402,479.480333333333,55.4726666666667,27.9386666666667,25.5695056566647,152.958,86.405,119.535666666667,127.798,2,50.09,-120.45,5,"genotype"
"AAFC06","AAFC6",7.48694238417466,11.9935233868025,34.8636185464783,835.035378870688,26.963440860215,-7.43781720430108,34.4012580645161,-2.06518697729988,3.14476953669862,17.6885894862605,-2.77452807381512,359.440666666667,43.8473333333333,17.8336666666667,29.5067971176692,122.659333333333,61.3916666666667,82.8646666666667,100.900666666667,3,50.09,-120.75,6,"genotype"
"AAFC08","AAFC8",6.50524202836338,11.9590600353273,35.45901536925,814.917400410236,25.8286989247312,-7.8977311827957,33.7264301075269,-2.79713285543608,16.1069554958184,16.4178740143369,-3.49549078738281,479.577,61.5373333333333,24.7746666666667,31.9924940905071,177.572,84.2356666666667,96.8133333333333,151.788,5,49.57,-120.55,7,"genotype"
"AAFC09","AAFC9",7.12812154223387,10.4040822761622,32.3881454646299,814.391879048341,25.8612688172043,-6.26184946236559,32.1231182795699,-1.87691063321386,2.49697368386979,17.2590465352449,-2.6342193268829,451.609666666667,55.477,26.8863333333333,26.7172830407165,139.393666666667,85.0746666666667,114.545333333333,122.680333333333,6,49.62,-119.8,8,"genotype"
"AAFC10","AAFC10",5.36381443424793,11.2525777221604,34.3563538427596,805.470407667606,24.2457849462366,-8.50675268817204,32.7525376344086,-3.64025896057348,15.00277520908,15.2963696535245,-4.33803348164627,512.205,59.3426666666667,28.2956666666667,27.587198801129,172.661333333333,93.2843333333333,118.975,150.049333333333,7,49.71,-120.05,9,"genotype"
"Adler05","Adler5",10.8625481283584,11.8347266463031,31.8892736043004,919.035455611194,31.9270215053763,-5.18491397849462,37.111935483871,9.81029611708483,22.6285834528076,22.6285834528076,-0.0924238545473807,618.289,85.546,16.9666666666667,39.5458974082578,224.994666666667,71.002,71.002,177.931666666667,9,40.79,-111.87,11,"genotype"
"Adler13","Adler13",5.55866202486155,15.5301503883651,38.4336932438781,911.753907069706,28.3167741935484,-12.0908709677419,40.4076451612903,9.48588888888889,16.8771675029869,16.8771675029869,-5.72827507857054,320.232333333333,42.66,14.631,24.4333322274953,101.544666666667,64.3323333333333,64.3323333333333,70.895,14,41.44,-111.08,13,"genotype"
"Adler16","Adler16",4.70319623398426,16.1051419097351,37.821268235565,959.93047880676,28.366247311828,-14.2159892473118,42.5822365591398,8.99181917562724,-7.14193907839987,16.6888287335723,-7.14193907839987,198.407,33.076,10.8953333333333,38.0539279381737,72.779,33.8493333333333,46.239,33.8493333333333,16,41.78,-110.2,15,"genotype"
"Adler17","Adler17",5.5591606636342,15.3143853190052,37.6071640950502,932.643914405471,28.2846344086022,-12.4373548387097,40.7219892473118,9.58543841099164,-5.7916728771239,17.3236205495818,-5.7916728771239,214.861,31.6103333333333,9.05633333333333,34.7549449464887,75.1636666666667,31.7426666666667,53.9586666666667,31.7426666666667,17,41.44,-110.11,16,"genotype"
"Adler18","Adler18",10.1341174432865,14.8324862530236,35.5459937192014,964.261622945565,33.6861397849462,-8.04144946236559,41.7275892473118,9.442,22.4691790919952,22.4691790919952,-1.38721469519337,177.132,26.495,7.445,35.7519118632897,64.8586666666667,27.99,27.99,42.3626666666667,18,40.86,-114.22,17,"genotype"
"Barnett01","Barnett1",4.02094565919805,15.4280033666155,38.0289142150858,899.90072934926,26.9364731182796,-13.6326666666667,40.5691397849462,-5.88839844683393,14.6612234169654,15.0806345280765,-7.12047710036431,636.383666666667,73.6513333333333,26.142,27.7114049645368,211.472,98.463,105.873333333333,207.51,19,43.48,-110.74,18,"genotype"
"Baughman2","Baughman2",9.35233231349795,15.1501036696418,40.1033198495226,802.135553060603,31.8519569892473,-5.92572258064516,37.7776795698925,8.08974050179211,19.5521677419355,19.6171381123059,0.105998788041975,368.269666666667,51.4216666666667,4.80866666666667,50.413924849394,132.991333333333,21.4913333333333,38.727,117.706666666667,21,43.05,-118.87,19,"genotype"
"Baughman3","Baughman3",9.09635399801219,14.6398681714986,39.6365400868229,790.280184149894,31.089,-5.84628279569892,36.9352827956989,7.58968954599761,19.2705975507766,19.2727401433692,0.123484271618671,439.454,57.9,5.209,50.8045868380399,156.993333333333,24.687,44.4893333333333,143.700666666667,20,42.81,-118.96,20,"genotype"
"Board1","Board1",8.27684404732478,13.6311398711678,38.4924524763913,785.982587739735,28.0094623655914,-7.40303799283154,35.4125003584229,6.67131481481482,18.1634495818399,18.5202162485066,-0.718091134476285,268.784,38.907,10.715,37.1620375138024,99.5473333333333,36.3206666666667,39.237,77.3393333333333,27,38.84,-117.57,24,"genotype"
"Bradford01","Bradford1",7.69815836574,16.7225420871074,46.4788572445166,732.06038717064,26.9680322580645,-9.01078279569892,35.9788150537634,16.529338172043,10.6417480286738,17.0838363201912,-0.95948159080342,573.617333333333,92.0493333333333,9.42233333333333,46.8799479928374,217.958333333333,58.4973333333333,178.964333333333,166.405,28,35.23,-111.62,25,"genotype"
"Chambers01","Chambers1",12.3733771078315,14.4066410236094,39.1204723662134,818.0468799959,33.4721612903226,-3.35418602150538,36.826347311828,2.90872844327324,22.6120826762246,22.8990734169654,2.90872844327324,239.666666666667,40.103,6.234,54.7446205838198,108.555666666667,20.0863333333333,27.289,108.555666666667,29,39.55,-119.58,26,"genotype"
"Chambers02","Chambers2",11.4215786415388,17.3770549339066,41.9567884268105,861.022838913503,34.8464623655914,-6.57008924731183,41.4165516129032,1.32850674058772,21.9072013739546,22.453508781362,1.32850674058772,155.252,22.126,2.492,45.5359141526252,54.74,11.4723333333333,17.4313333333333,54.74,30,39.95,-118.76,27,"genotype"
"Chambers04","Chambers4",10.4084822660466,16.2985802072114,40.9195258123806,840.268036099502,33.755064516129,-6.07574946236559,39.8308139784946,1.26789390681004,20.932145041816,21.2169783751493,0.648066160960739,319.305,47.674,3.47266666666667,52.702186170186,120.349,19.229,24.511,118.402333333333,32,41.31,-117.63,28,"genotype"
"Chambers05","Chambers5",9.55214524787977,15.0987843750552,39.7441586873772,819.200672640924,31.8406559139785,-6.14928996415771,37.9899458781362,0.753074850657109,19.9189478494624,20.0844552568698,0.105449928197704,381.655,57.5906666666667,3.492,54.5500776811445,146.814666666667,20.6783333333333,28.328,145.74,33,41.54,-117.75,29,"genotype"
"Chambers06","Chambers6",10.1802476996045,16.0052371159019,40.8154204544191,830.640020582403,33.2171182795699,-5.99658315412186,39.2137014336918,1.14939444444444,20.6112071684588,20.8248405017921,0.519704597701149,340.742,50.9983333333333,3.054,53.7296239365754,130.407,18.943,26.2023333333333,128.486333333333,34,41.54,-117.78,30,"genotype"
"Chambers07","Chambers7",10.3744565161688,15.0263574716322,38.2384379035847,883.59242450185,33.7840107526882,-5.5124623655914,39.2964731182796,0.38183614097969,21.2068664874552,21.4151127837515,-0.208067065551965,508.148666666667,84.2986666666667,6.04566666666667,59.2171578689217,220.392,27.938,37.7496666666667,211.316,35,43.94,-116.19,31,"genotype"
"Chambers08","Chambers8",8.78024284331209,14.7523644924402,38.6161312406722,840.5815988849,31.0112903225806,-7.19130537634409,38.2025956989247,7.75739868578256,19.2469419354839,19.5128289725209,-1.13224314288068,370.982,50.463,7.34533333333333,44.7699816609284,129.337666666667,35.428,45.3893333333333,118.113333333333,36,42.24,-114.57,32,"genotype"
"Chambers09","Chambers9",10.4724220184023,16.438264801499,40.4028757753981,870.516225031482,34.1395483870968,-6.54632974910394,40.6858781362007,9.33461583034648,21.2672770011947,21.6801788530466,0.268968599296102,246.697333333333,37.2903333333333,4.50966666666667,47.1868812311926,91.6896666666667,21.3376666666667,25.8273333333333,79.2913333333333,37,40.66,-116.73,33,"genotype"
"Copeland01","Copeland1",9.55952345459535,13.7876091029274,36.3924339824544,870.869835103137,31.8802150537634,-6.00570681003584,37.8859218637993,8.89600286738351,20.2697079450418,20.6182246117085,-0.704834915190894,357.557666666667,49.007,6.62966666666667,44.5612792860507,122.238,29.9533333333333,45.5916666666667,114.435333333333,38,43.7,-117.33,34,"genotype"
"Copeland05","Copeland5",9.99201020938903,14.341506583888,38.6341308864199,816.645354597622,31.9448602150538,-5.17647849462366,37.1213387096774,8.49517066905615,20.4430426523297,20.497988948626,0.655330443290899,292.578333333333,40.9573333333333,4.17666666666667,49.5668342633823,103.503,18.429,32.9243333333333,97.504,39,42.27,-118.71,35,"genotype"
"Copeland09","Copeland9",7.78048238191612,15.0471580079424,40.6963661687493,776.0664240513,29.8510430107527,-7.1231623655914,36.9742053763441,-0.533105615292712,17.7310498805257,17.7310498805257,-1.15712339945619,305.58,41.29,5.379,47.9514651114389,110.554,21.501,21.501,104.626666666667,40,43.47,-119.68,36,"genotype"
"Downs01","Downs1",12.1007908475614,12.8142856601397,36.6629759394564,836.035916664067,32.6390107526882,-2.31255913978495,34.9515698924731,2.55223655913979,22.0366805854241,22.5079083632019,2.03960879048443,204.011666666667,30.2413333333333,4.08966666666667,47.5105103760752,83.6513333333333,15.7183333333333,24.8963333333333,78.6493333333333,42,46.38145,-119.430272,38,"genotype"
