"","1","2","3","5","6","7","9","12","13","14","16","17","18","19","20","21","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","42","43","44","45","46","47","48","49","51","52","59","60","61","62","63","64","65","66","67","71","72","73","74","75","76","77","79","81","82","83","84","86","87","88","89","90","91","93","95","96","97","98","99","100","102","103","104","150","G200","G201","G202","G203","G204","G205","G206","G207","G208","G209","G210","G211","G212","G213","G214","G215","G216","G217","G218","G219","G220","G221","G222","G223","G224","G225","G226","G227","G228","G229","G230","G231","G232","G233","G234","G235","G236","G237","G238","G239","G240","G241"
"1",0.999999999999999,0.728308610291812,0.746383486198971,0.705161308756658,0.703457604629718,0.703595267700076,0.666132394370755,0.697476329770812,0.656854853285553,0.677125715970656,0.694802727649233,0.69500654190145,0.664493189367454,0.669949967876271,0.717558372975788,0.672097225644792,0.700579624458052,0.680170053981203,0.679782341593919,0.623072351930734,0.616542665538342,0.616696158224117,0.616497311428555,0.613190058188766,0.613182482082621,0.693747258977959,0.665471999612757,0.700589007172853,0.700655694812353,0.66155187301672,0.695113895584803,0.641118358896498,0.66874248428226,0.624333592238628,0.704675976718698,0.66144249958837,0.684740268996703,0.644230375403865,0.690822969150042,0.669758545809608,0.658118186835735,0.680187182793563,0.722222036943146,0.616589222351405,0.609234791220708,0.616440028074728,0.612792695962717,0.630044773104712,0.677072227059614,0.694795441423847,0.691012907901077,0.693401718523106,0.625129994959148,0.682050990971819,0.750456371410787,0.694783130791434,0.661603054438551,0.682741102787069,0.703245569499126,0.672071283474136,0.659379906559892,0.655830046862847,0.663350218106957,0.700510676361206,0.695921147706446,0.660812358217654,0.645323470349667,0.718967349081141,0.697219630754662,0.631002038402442,0.661838599928176,0.631256473609654,0.676390362831688,0.700919876756591,0.661479948048507,0.669997630540755,0.679904075185431,0.6982317085519,0.668782347652521,0.766342931014598,0.733664185339193,0.778000648140072,0.768726076466304,0.725362782961921,0.769533135381624,0.778585381582805,0.770845776612926,0.760054663228132,0.779821744705645,0.773451321333296,0.774092658359352,0.772919917977706,0.761743139245345,0.776203526122961,0.77768502743678,0.779261066067049,0.777165224835472,0.784555320772183,0.78104469566104,0.781527790906881,0.78138909135917,0.772381439681932,0.773733740451141,0.773105479726999,0.776194802389907,0.776534589821099,0.764652469715986,0.744893001903666,0.735617519626908,0.781392451855519,0.76504771355537,0.777492497580398,0.776745493886794,0.780540926749536,0.776663724068002,0.776511626109868,0.775408295382692,0.775128875587582,0.775212044822753,0.78149897784197,0.757991807233292
"2",0.728308610291812,1,0.663658680244957,0.739502969545849,0.790096307384152,0.790075307464689,0.711419095751832,0.70460271937194,0.657744927139981,0.669595900163163,0.671734454766768,0.671887981120389,0.689107084631713,0.70439439082239,0.783805652988699,0.679048980761176,0.673287266711694,0.721814055701714,0.721334233298564,0.64137025545123,0.634734205123155,0.634888850614307,0.634697924409096,0.630124876381826,0.630091567666923,0.69483614810334,0.672414182428934,0.673304574405365,0.673372000270756,0.725439878935347,0.671942636867638,0.658516885959096,0.719763709025355,0.649289033023029,0.69180248834018,0.648323384013816,0.741832882655847,0.659956451438289,0.743168709515982,0.70401732550948,0.646788054162327,0.671520483755776,0.787637081837552,0.634783833838189,0.626518999385053,0.634618142690576,0.630989643925818,0.652335907661452,0.672117509172994,0.671680522011087,0.759780702359073,0.733655853110211,0.632116792564255,0.683970610566427,0.73735582201385,0.671671086141907,0.64842763076377,0.760035863197972,0.793228288035727,0.64149681254052,0.670517922563432,0.656634545922728,0.656296835240676,0.673193768703676,0.677937149515694,0.68093488930484,0.675842574860858,0.681369684770273,0.726108993674698,0.633910935346344,0.648668636719256,0.634177325324144,0.672873323013722,0.673703282666804,0.648325125829288,0.70429932867586,0.721571576930309,0.679295817012182,0.647649575357514,0.804582624055113,0.753757103436865,0.799193665425622,0.795873132042874,0.719323420924349,0.798046876904111,0.804841892443778,0.823439473458144,0.805674702051802,0.823689900220682,0.786603325602052,0.78716525144111,0.784619742420373,0.781767081392782,0.793654670847735,0.798306411232197,0.802495062569498,0.799754822138048,0.80027166068726,0.801831949524692,0.801226391421623,0.801543897586758,0.78428288317482,0.787458537725075,0.785989334429844,0.797840355480988,0.808588213487228,0.788930192268193,0.781442071525896,0.760786897692721,0.809917808958347,0.776672323951568,0.786131990751616,0.794044309753705,0.799786894712628,0.792176763227024,0.791063411826273,0.790385742732686,0.789651847910366,0.78989499092404,0.793213228752919,0.749021691583227
"3",0.746383486198971,0.663658680244957,1,0.684028662245637,0.646180973737068,0.646315773125282,0.660131905874077,0.67172311247556,0.676460950719081,0.699012082955167,0.690795665490191,0.691032673289593,0.65841452383139,0.64986428485115,0.680662349215223,0.679015156535499,0.692846883686474,0.655729129795688,0.655298330194345,0.619284801596654,0.612914249791815,0.613065616929149,0.612806742400089,0.609534959585621,0.609490917437999,0.697698422222655,0.671399865688872,0.692908254298297,0.692872226284141,0.650594595486984,0.691039129355138,0.647814818946697,0.65283981170392,0.617460122680356,0.699986891132831,0.672521491636686,0.655546125867234,0.644267050152594,0.659851448471529,0.649683971730757,0.675354859174664,0.69028728309828,0.669085757980836,0.612878029366104,0.605878257890893,0.612800419183491,0.608729597127317,0.622385297234088,0.709110776724163,0.690787170963814,0.668676741860617,0.675071424025517,0.638154108417502,0.67527692396405,0.73232468826489,0.690793066702301,0.672655057393408,0.667936897142609,0.658500877031402,0.739046360623544,0.687343375741359,0.727936012181831,0.683299320195179,0.692761445627784,0.682932006603881,0.678468723533298,0.656935179000041,0.722435852228071,0.683788504835982,0.643500966806971,0.672901403023401,0.643808057936423,0.683490208128863,0.69327661768292,0.67253074415097,0.649935567969388,0.655520810005618,0.72750782076122,0.740843446735543,0.746904578856844,0.729730719081272,0.772098936397797,0.754452311420438,0.744333210311165,0.754230822095022,0.767769360199471,0.739022741892136,0.736284239439988,0.745586352878038,0.775233816832859,0.773599161936034,0.773564843431668,0.757324903022882,0.769208646253887,0.772543761454462,0.765391780672413,0.756736153410593,0.772790039399384,0.76754709971021,0.768936763528695,0.768360125991181,0.77529258338441,0.77516847745954,0.775258228807282,0.771990004420732,0.762329225076233,0.756419735654741,0.7289340347021,0.72799821208941,0.767171330921319,0.763644159732353,0.772315604722516,0.763949248212444,0.766049469495615,0.77651488839359,0.777078774868814,0.773525481410208,0.773578963803534,0.773547891062081,0.770774313716252,0.771041762164368
"5",0.705161308756658,0.739502969545849,0.684028662245637,1.00000000000001,0.707395512423658,0.707560570439729,0.705370742048661,0.695718677913338,0.6812135157283,0.704601942595083,0.719620057928381,0.719761812303084,0.673343473015708,0.696323590573438,0.723153035828704,0.685976637406557,0.707614953501555,0.684601423438877,0.684108994189405,0.639656706881441,0.633808643662281,0.633858886152323,0.633639416635107,0.628866982730081,0.628899909754835,0.731301278413409,0.68453396908441,0.70765748254211,0.707690266233692,0.70635693679939,0.719843240447697,0.661682148300801,0.687066233744222,0.659954032837364,0.733134009959616,0.656378481984526,0.695464029088034,0.663998060743382,0.712892216988918,0.696035182757823,0.670496644602924,0.711975773307577,0.717851342788938,0.633751505029469,0.625409956866339,0.633699639212505,0.62663076173251,0.643791365831371,0.702391160253228,0.719489173170373,0.696325304235578,0.715700370270008,0.645887265041443,0.69872564996789,0.738578519306993,0.719544997161606,0.656485827638388,0.731556833710763,0.716981504511087,0.664735425525108,0.676180456355056,0.693237253599686,0.678633987469956,0.707498194891361,0.705649440007912,0.70329347221769,0.669136495812253,0.721825861730136,0.738620324346935,0.651097085728278,0.656669176865219,0.651379451608781,0.674468499110954,0.708089211828069,0.656342115529945,0.696257317845133,0.684433872137183,0.713740054698682,0.671492882797711,0.78979653544632,0.754484286919163,0.79791436769299,0.790416010445638,0.740752754661681,0.791363697128219,0.799208707239274,0.796011421169752,0.784976469317085,0.80367195455434,0.793080201025009,0.800058240325641,0.798808346619751,0.780017505348011,0.797476749087892,0.797588408144532,0.800331874913185,0.794919878496552,0.80358689735647,0.799624313068456,0.800103766749565,0.799925592525521,0.791848010314735,0.79329252287143,0.792692449837068,0.800423092855708,0.796696645218979,0.784936520081811,0.764579589514443,0.753381688204874,0.803029106331991,0.783875787732984,0.798721866836037,0.797569961676868,0.801715444330374,0.797860685616142,0.797671674802057,0.799063699679505,0.79876932244953,0.798880430733894,0.801609831247505,0.776228416647251
"6",0.703457604629718,0.790096307384152,0.646180973737068,0.707395512423658,1,0.999586891225687,0.711155005608579,0.694463022678486,0.649367594340688,0.655256285541299,0.66274634335355,0.662925395779019,0.680703486456597,0.701548481025673,0.770609025023994,0.670770044244179,0.665021075855619,0.69436065728098,0.693873641357517,0.63547162406691,0.629604851869232,0.629779688269503,0.629585013831334,0.62555811873177,0.625591810903949,0.682625461048892,0.659987908516938,0.665040168009282,0.665103766745884,0.729839311714852,0.662988547734579,0.649640854423177,0.690774117150492,0.64685207077532,0.675940407380194,0.636100027225902,0.709329040051721,0.661544314059497,0.714399136120919,0.701185900586177,0.633103054845626,0.659026711579317,0.74499473185513,0.629681335517145,0.621550011894172,0.629511401145378,0.62501747169602,0.649067934193614,0.660644646164634,0.66270537977671,0.734737752132191,0.72166513868133,0.628122250754498,0.681455238330869,0.727202244315845,0.662727125259574,0.636207879296059,0.717250548981983,0.735250267916762,0.633181309805734,0.663749969079365,0.644051631794797,0.64716583557187,0.664917356875568,0.669142741394171,0.667229620231164,0.660436262065392,0.671153139061246,0.703134333123806,0.62898580518769,0.636414179215184,0.629227748605546,0.658904069936363,0.665426980753357,0.636096679963489,0.701427500842333,0.694096266840468,0.668761680965535,0.638993463006416,0.7875924186407,0.745675011366548,0.780082388555576,0.778491851606193,0.714091221599713,0.780336445564664,0.789462911856531,0.806836435331433,0.794839091144463,0.798916977389353,0.770024130004649,0.771238356901179,0.769098404278572,0.768528485579451,0.777604222657044,0.779422647127118,0.783124588959495,0.776048442464578,0.779774337428523,0.781103053415978,0.780711603692291,0.780952977250359,0.768149933556971,0.770660706782626,0.769484025311989,0.781349620286104,0.788880025843004,0.773639760665707,0.766729913832655,0.746810810176052,0.788789456184997,0.764067593626581,0.767755858738145,0.773377879950236,0.778838784008352,0.773680558796544,0.772822924302065,0.774037225375473,0.773414504466174,0.77361057023599,0.772946214210411,0.73782490585646
"7",0.703595267700076,0.790075307464689,0.646315773125282,0.707560570439729,0.999586891225687,1,0.711225736241367,0.69452542596843,0.649561360538377,0.655437952804302,0.662845304944677,0.663024480669042,0.680804342184024,0.70164329982817,0.770623798422583,0.670851681425814,0.665279686143407,0.694364705351568,0.693877479947088,0.635595102293641,0.62971420556248,0.6298891174671,0.62969425885123,0.625657150641482,0.625691099124386,0.682802285289379,0.66011920632945,0.665298760079801,0.66536234972888,0.72986503819201,0.663087614312101,0.649734560513696,0.690897738049359,0.646964194956781,0.676110337559811,0.636239471613066,0.709373329549115,0.661700855102852,0.714497590703557,0.70128064833844,0.633222511991971,0.659167874230069,0.745018993675277,0.629790694207872,0.621674574760994,0.629620669005307,0.625132537847386,0.649272172500312,0.660693373057397,0.66280432210141,0.734736163073152,0.721673943285814,0.628241482621469,0.681545367141033,0.72733418423231,0.662826216724335,0.636347544416718,0.717250048515174,0.735316974459741,0.633287824255362,0.663811761475906,0.644170385518767,0.647308383322421,0.665175957059798,0.66934201908382,0.667290472897695,0.660479569457006,0.671350491799692,0.703247884797461,0.629100473142024,0.636553876260896,0.629342451095676,0.659029390773966,0.665685589339133,0.636236228955261,0.701522354684614,0.694100195154707,0.66895842884793,0.63912610639104,0.787717200311971,0.745833487696586,0.780209032949333,0.778631746650323,0.714290311459944,0.780473791137668,0.789609511635879,0.806944633738438,0.79496803498696,0.799010509888044,0.770170023884476,0.77139119212175,0.769253864651113,0.768679407723064,0.777767130606693,0.779550880019385,0.783266007091875,0.776166591276054,0.779912067867451,0.78124158802875,0.780852386241317,0.781093007054415,0.768298743631101,0.770805643783525,0.769630506334139,0.781489293377153,0.788995040618028,0.773786973549297,0.766853079450708,0.746948265478306,0.788912673413644,0.764243064735783,0.767911701994672,0.773513659217467,0.778977923241044,0.773819422087935,0.772963972252754,0.774186166020848,0.773564284225374,0.773760050555354,0.773096685201315,0.738020705646286
"9",0.666132394370755,0.711419095751832,0.660131905874077,0.705370742048661,0.711155005608579,0.711225736241367,0.999999999999999,0.666768085879912,0.670692658206725,0.665969385707907,0.664402267720404,0.664587191706215,0.715045134800983,0.791335458597447,0.714856329404416,0.69196439592254,0.664220446997329,0.70706088861712,0.706597569917053,0.644932150250309,0.638512520668664,0.638642868124615,0.638431404513993,0.635017628813347,0.634948812730961,0.69615629184527,0.729473110009198,0.664278427664515,0.664338549050486,0.794251724449845,0.664620582832322,0.684166004184998,0.701415201395601,0.652773944689638,0.683584735797447,0.642806501611948,0.735076892349289,0.672040963672977,0.77543999015753,0.79111210796796,0.649637951328292,0.675022395205176,0.693211640898962,0.638457196805036,0.631210762354955,0.638465083547696,0.638146691885519,0.674792207140229,0.682168531369627,0.664368281139787,0.680088316288258,0.776585685798811,0.646042173948854,0.732322979072483,0.753041639649306,0.664372725256559,0.642936843806515,0.74747109911254,0.70043278442981,0.643577886839136,0.674445563460687,0.656640039817433,0.663141858511263,0.664158951483548,0.663056301950927,0.67708181192639,0.653081830405214,0.679729267433936,0.755360798152803,0.640844524611099,0.643114043925942,0.64113977192588,0.667155542492863,0.664620833960577,0.642787700838014,0.791310095972686,0.706886072385394,0.664974186886304,0.651592990422694,0.809183294689068,0.769986088520235,0.790750861142854,0.79974723397861,0.740171900482745,0.801394979667939,0.800975890139344,0.811723729202948,0.805071219212592,0.799357107152346,0.784065431901542,0.78283366942821,0.781195020841249,0.780997398683919,0.798472628328701,0.790421978689606,0.801422807054048,0.784904645169059,0.786617151704489,0.792385096789352,0.792329258796107,0.792314065877162,0.782520707310493,0.784501318370614,0.783608222855986,0.791517939555842,0.797133598007837,0.798183593015524,0.79050754666256,0.772011800060868,0.795810040214796,0.786638312207296,0.784235039782657,0.78680124098682,0.794730712892629,0.784110145353305,0.78354272161845,0.787245269600049,0.786758727939069,0.78692035857723,0.787890119086438,0.760338687545292
"12",0.697476329770812,0.70460271937194,0.67172311247556,0.695718677913338,0.694463022678486,0.69452542596843,0.666768085879912,0.999999999999999,0.696705601358051,0.674135710221328,0.666717205757204,0.666873747832347,0.695996132044657,0.647417872457167,0.71444037830436,0.685984731067557,0.669740601638575,0.668986352510466,0.668501772414214,0.627362731989585,0.621275041180971,0.621378308358972,0.621215318806195,0.617430595532705,0.617364331562198,0.685025108048258,0.686722074576623,0.669807794338151,0.669816197744803,0.668660439216276,0.666917226134378,0.661201088938271,0.658556063113096,0.62981270412641,0.687770112378682,0.778634166023784,0.668552028927955,0.640477939274363,0.669917557632656,0.647214634143097,0.669794316628019,0.690096674701019,0.700531048785817,0.621245574027772,0.613145894433912,0.621056354173205,0.613876326637321,0.626945825439501,0.657181059793974,0.666602567191931,0.665895252383598,0.67081740382777,0.642682007866748,0.6781240159494,0.789599580740138,0.666587391836068,0.778781220902578,0.676342692350769,0.699487608325897,0.646884927152562,0.662929360500541,0.648810567661364,0.683022236914469,0.669661632605798,0.666406526430763,0.684677661332346,0.647528141487145,0.670947698886015,0.678506735171198,0.65750100846626,0.778739181498464,0.657803011970852,0.813448818454792,0.670131174902317,0.778639201147883,0.647371615439024,0.668693644223483,0.679146104044935,0.65049382766218,0.7570780126613,0.73796237367908,0.776462197909093,0.765286146303595,0.749440154973834,0.765204752785107,0.773355486468865,0.748033345309652,0.74406364660475,0.756832842853679,0.779194703433756,0.779266155667643,0.779274525933539,0.761038698520568,0.778175152698281,0.776719305587062,0.775833674506583,0.766335698573397,0.782300411126702,0.773415048151197,0.774832616412789,0.774204564226296,0.779116535879167,0.778839172471901,0.77904928370085,0.774786734864669,0.766697129799447,0.765477927658184,0.736608480978983,0.734004898246555,0.771413501777023,0.772183802145492,0.783141102212159,0.774367748590812,0.778517266849899,0.777406391359512,0.778066243873297,0.779627017748633,0.779710669057919,0.779682877830876,0.783646654363178,0.78120851112136
"13",0.656854853285553,0.657744927139981,0.676460950719081,0.6812135157283,0.649367594340688,0.649561360538377,0.670692658206725,0.696705601358051,0.999999999999999,0.68845404701064,0.673575693972726,0.67383032364471,0.69526907252151,0.650470144259977,0.661318742098289,0.690292802483556,0.674487835167076,0.648200251143445,0.647728998397315,0.62954042382995,0.623191930738774,0.623336555513282,0.623159396114904,0.619420092423234,0.619446314911757,0.70757845451472,0.695008671379126,0.67452452534203,0.674570050155676,0.655465170987841,0.673768175856984,0.680924914682703,0.659355815665207,0.622627981368322,0.687847576280977,0.742369723262751,0.64467204961773,0.648937424549599,0.65391647329921,0.650255916446106,0.695754475485318,0.715089549560154,0.663008967014552,0.623190174980829,0.615350631269485,0.623079449205611,0.617237473564842,0.629533764109415,0.677006739724437,0.673574848043525,0.667769072710373,0.669300935789919,0.662517476162979,0.67856736900904,0.769224115865717,0.673554329920463,0.7424563577935,0.679215630980648,0.651335228909887,0.665081801062862,0.681353961521268,0.677971024365157,0.708845706719486,0.674446820736084,0.67402040313973,0.704879390568031,0.677903713720207,0.690179546803227,0.670756421281853,0.698887494471396,0.742664699941081,0.699224675942566,0.76691443925429,0.674911734902087,0.742394138238702,0.650459574676229,0.647909508570952,0.678156100646295,0.673695763362192,0.747161251361208,0.740125311696037,0.776095635642805,0.756859218613582,0.76070618013432,0.756084491984458,0.770058537107199,0.739512582869715,0.741450033432304,0.742251694154126,0.78367524353769,0.786626147109943,0.787339186894024,0.766483724005061,0.772740154651785,0.776933932948797,0.764992127433177,0.752226297435292,0.776921987247922,0.764819791482374,0.766722809468,0.765926612611005,0.784390088883918,0.783209430754708,0.783831315835644,0.781261830421018,0.763876624204773,0.758864531747152,0.729278729944739,0.73116911781197,0.76856444968172,0.771002976174105,0.776012749064739,0.762948642854184,0.765743274263474,0.782998010309307,0.784037820082562,0.78431242965202,0.784582437142716,0.78448179782675,0.772643792745826,0.784646914658545
"14",0.677125715970656,0.669595900163163,0.699012082955167,0.704601942595083,0.655256285541299,0.655437952804302,0.665969385707907,0.674135710221328,0.68845404701064,0.999999999999999,0.688813620973197,0.688941383993821,0.662675485589375,0.647912897753343,0.673609584754282,0.733710912412464,0.790324756862862,0.654252466951742,0.653777281406839,0.62868487398593,0.622668375305228,0.622783605150017,0.62256763704727,0.618223010242448,0.618265305588799,0.725041327022872,0.67602516872932,0.790432094977554,0.79040492491047,0.662350532986688,0.688965282589091,0.700167643881632,0.674586345349187,0.637558426848145,0.713843056427259,0.677075433162728,0.655347284824177,0.65081051578323,0.657304650761956,0.647729530658029,0.705705456749667,0.724386507370724,0.6649576500236,0.622657237068245,0.61498195884597,0.622513423427764,0.620697659789936,0.626280185085943,0.726187730081655,0.688742630930777,0.658764140499513,0.669110287476484,0.680754456303227,0.667945194693675,0.727603301737404,0.688680470300786,0.677296334341944,0.666666790044808,0.664862326482028,0.676167427973263,0.759154684946632,0.703344766822909,0.709800225005289,0.790273950663088,0.736979429612528,0.685367928212616,0.666812722217599,0.721502181506448,0.693059094683065,0.697946375950245,0.677540105972555,0.698203749022448,0.718638026038491,0.790608346830208,0.677104992908118,0.647918942828968,0.654030506897709,0.763404147308778,0.688280570714066,0.754172934185913,0.74281385099139,0.781254304879072,0.759736816872971,0.782462241408482,0.759239289883463,0.7870413860602,0.741742605198603,0.74447152557279,0.743127399960243,0.788708604270835,0.794558190296085,0.795198250294455,0.766388685480965,0.793052860319789,0.781861511668438,0.782119067307898,0.764802631908292,0.781920382831012,0.782942795145059,0.784493649060278,0.783848365621375,0.789518821882345,0.78845642390191,0.788904298494417,0.788414605567377,0.767100979543352,0.769071790447357,0.731375603481476,0.730224376122682,0.775134763871786,0.78578425578418,0.795935876357653,0.783416194693292,0.781657924246983,0.793434471513494,0.794516742911362,0.789245254141941,0.789517764569642,0.789423123716876,0.787466344625328,0.810030888506841
