"SiteCode","climYr","prcp.Spr","tmean.Spr","swe_mean.Spr","prcp.Sum","tmean.Sum","swe_mean.Sum","prcp.Win","tmean.Win","swe_mean.Win","prcp.Fall","tmean.Fall","swe_mean.Fall"
"BA",2020,202.66,10.6912637362637,0,13.22,19.1853333333333,0,147.47,0.868315217391304,1.08489130434783,NA,NA,NA
"BA",2021,98.07,12.4320879120879,0,30.35,19.5908888888889,0,116.07,0.613118279569892,4.58075268817204,113.3,3.58236263736264,0.581538461538462
"BA",2022,179.29,9.26368131868132,0,8.36,21.0767222222222,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428572
"BA",2023,151.95,11.083956043956,2.46417582417583,49.57,19.0123333333333,0,161.29,-1.83548387096774,16.459247311828,165.01,1.69373626373626,8.48296703296703
"BA",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.76,3.96467032967033,0.0901098901098902
"Boise_High",2020,202.66,10.6912637362637,0,13.22,19.1853333333333,0,147.47,0.868315217391304,1.08489130434783,NA,NA,NA
"Boise_High",2021,98.07,12.4320879120879,0,30.35,19.5908888888889,0,116.07,0.613118279569892,4.58075268817204,113.3,3.58236263736264,0.581538461538462
"Boise_High",2022,179.29,9.26368131868132,0,8.36,21.0767222222222,0,95.2,0.252741935483871,10.2890322580645,153.7,4.03203296703297,1.85428571428572
"Boise_High",2023,151.95,11.083956043956,2.46417582417583,49.57,19.0123333333333,0,161.29,-1.83548387096774,16.459247311828,165.01,1.69373626373626,8.48296703296703
"Boise_High",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.76,3.96467032967033,0.0901098901098902
"Boise_Low",2020,136.37,14.6360989010989,0,5.33,22.2166666666667,0,78.26,3.88880434782609,0,NA,NA,NA
"Boise_Low",2021,54.32,16.4744505494505,0,10.94,22.7119444444444,0,65.15,3.43241935483871,0.20010752688172,62.03,5.47241758241758,0.203846153846154
"Boise_Low",2022,98.15,13.4288461538462,0,9.47,24.3362222222222,0,43,2.07682795698925,1.14451612903226,58.14,6.62626373626374,0.0557142857142857
"Boise_Low",2023,68.74,15.0624725274725,0,41.38,22.3923333333333,0,53.36,1.31763440860215,0.0121505376344086,85.36,4.01307692307692,0.0836263736263735
"Boise_Low",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.62,6.10824175824176,0.00307692307692308
"CG PASTURE",2020,272.38,11.4524725274725,0.57989010989011,110.24,19.196,0,88.5,-0.554130434782609,4.17597826086957,NA,NA,NA
"CG PASTURE",2021,385.12,11.2428021978022,0.504945054945055,122.42,19.4766666666667,0,149,-1.86161290322581,6.30677419354839,64.02,3.4539010989011,2.5610989010989
"CG PASTURE",2022,133.5,11.5174725274725,0.0689010989010989,260.84,20.0119444444444,0,118.46,-1.43489247311828,3.61129032258065,76.44,5.12208791208791,0.267692307692308
"CG PASTURE",2023,517.94,11.2418131868132,1.23934065934066,441.1,18.4805555555556,0,116.82,-2.5860752688172,14.8322580645161,54.9,1.74648351648352,1.52263736263736
"CG PASTURE",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.88,4.25252747252747,2.72516483516484
"CH",2020,272.38,11.4524725274725,0.57989010989011,110.24,19.196,0,88.5,-0.554130434782609,4.17597826086957,NA,NA,NA
"CH",2021,385.12,11.2428021978022,0.504945054945055,122.42,19.4766666666667,0,149,-1.86161290322581,6.30677419354839,64.02,3.4539010989011,2.5610989010989
"CH",2022,133.5,11.5174725274725,0.0689010989010989,260.84,20.0119444444444,0,118.46,-1.43489247311828,3.61129032258065,76.44,5.12208791208791,0.267692307692308
"CH",2023,517.94,11.2418131868132,1.23934065934066,441.1,18.4805555555556,0,116.82,-2.5860752688172,14.8322580645161,54.9,1.74648351648352,1.52263736263736
