site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,site,lat,lon
Boise_High 2022,8.034080625445085,12.636035110587308,35.77821401698745,817.070905725963,28.87510752688172,-6.442572401433692,35.317679928315414,-0.695627001194743,18.463454540023893,18.54779157706093,-1.3168472712184613,464.769,61.70633333333333,6.058666666666666,48.2189953241754,165.52633333333333,30.88133333333333,49.16066666666667,160.79233333333332,Boise_High 2022,43.20847803,-116.9951781
Boise_Low 2022,11.040092247816505,14.77306865792974,38.467298314722164,858.0091998610426,33.49575268817204,-4.908474551971326,38.40422724014336,1.3354908602150537,21.488312843488654,21.913681362007168,0.8530051322457051,235.00900000000001,30.343666666666664,3.592,45.74001623465507,81.26166666666666,16.692333333333334,26.688000000000002,75.31899999999999,Boise_Low 2022,43.333643,-116.708793
CG PASTURE 2022,7.602570775692862,14.638809037893369,39.226797654316904,846.5533762388864,28.518860215053763,-8.799529032258064,37.31838924731183,15.762709856630822,-2.2340786057112254,18.62038010752688,-2.2340786057112254,422.7146666666667,64.93299999999999,8.315,57.48388659192052,184.29333333333332,33.57933333333333,166.38066666666666,33.57933333333333,CG PASTURE 2022,41.21283,-104.852501
CG PASTURE 2023,7.602570775692862,14.638809037893369,39.226797654316904,846.5533762388864,28.518860215053763,-8.799529032258064,37.31838924731183,15.762709856630822,-2.2340786057112254,18.62038010752688,-2.2340786057112254,422.7146666666667,64.93299999999999,8.315,57.48388659192052,184.29333333333332,33.57933333333333,166.38066666666666,33.57933333333333,CG PASTURE 2023,41.21283,-104.852501
CaseAoyamaS1 2022,7.780482381916121,15.047158007942393,40.696366168749336,776.0664240512998,29.851043010752687,-7.123162365591398,36.97420537634409,-0.5331056152927119,17.731049880525685,17.731049880525685,-1.1571233994561856,305.5799999999999,41.29,5.379,47.951465111438864,110.554,21.500999999999998,21.500999999999998,104.62666666666667,CaseAoyamaS1 2022,43.47110267,-119.6833963
CaseAoyamaS1 2023,7.780482381916121,15.047158007942393,40.696366168749336,776.0664240512998,29.851043010752687,-7.123162365591398,36.97420537634409,-0.5331056152927119,17.731049880525685,17.731049880525685,-1.1571233994561856,305.5799999999999,41.29,5.379,47.951465111438864,110.554,21.500999999999998,21.500999999999998,104.62666666666667,CaseAoyamaS1 2023,43.47110267,-119.6833963
CastValley 2021,13.524654525236741,16.05852018733337,36.756039936344585,1015.344650630489,37.02466666666667,-6.664806451612903,43.68947311827957,20.3499298088411,23.520927359617684,26.156780406212665,0.9000629635515063,255.29466666666664,32.266333333333336,9.88,24.605549985328224,84.102,48.953,52.06833333333334,57.214666666666666,CastValley 2021,38.677,-109.417
EOARC 2022,7.638204758447069,14.787076574647903,40.36854058511376,773.8390027859439,29.525440860215053,-7.10475770609319,36.630198566308245,-0.6141722222222225,17.58665017921147,17.58665017921147,-1.2451982302499547,316.255,42.448,5.516333333333333,47.624795502952885,114.10666666666665,22.693666666666665,22.693666666666665,108.394,EOARC 2022,43.467044,-119.700795
EnsingS1 SuRDC 2022,9.328698354469399,10.459552677798966,31.91564388952261,838.7061722310364,28.628010752688173,-4.144483870967742,32.772494623655916,17.590867682198326,4.690385532572935,19.794390979689368,-0.7860549692191796,368.58299999999997,47.361666666666665,22.222,26.242273812574034,115.04566666666666,69.531,96.852,94.54033333333334,EnsingS1 SuRDC 2022,49.561619,-119.652027
EnsingS2 Summerland-Princeton 2022,7.128121542233874,10.404082276162226,32.388145464629936,814.3918790483406,25.8612688172043,-6.261849462365591,32.123118279569894,-1.876910633213859,2.4969736838697907,17.25904653524492,-2.6342193268828975,451.60966666666667,55.477,26.886333333333333,26.71728304071649,139.3936666666667,85.07466666666667,114.54533333333333,122.68033333333334,EnsingS2 Summerland-Princeton 2022,49.616744,-119.797613
EnsingS3 Bear Creek 2022,9.365533376811978,10.094046815832995,30.98208572945458,840.3112014644187,28.471258064516128,-4.109010752688172,32.5802688172043,0.09087753882915177,4.689083626722225,19.86728166069295,-0.7933569348070458,399.20366666666666,44.989999999999995,22.779666666666667,26.315660305288063,129.21766666666667,71.83,95.81366666666668,112.89233333333333,EnsingS3 Bear Creek 2022,49.939567,-119.505992
EnsingS4 Lundbom 2022,4.313798463791338,12.629943484897977,36.93974033332092,796.4151830241665,23.6364623655914,-10.554204301075268,34.190666666666665,-4.7351057945041815,-0.018043898717563955,14.040963799283155,-5.415047005049703,437.67833333333334,50.489333333333335,24.387666666666668,26.558525782102787,141.73966666666666,77.77466666666666,105.88766666666666,119.01266666666666,EnsingS4 Lundbom 2022,50.097899,-120.60262
FAR NORTH CPER 2022,8.87859775334587,15.826630342429272,40.111458753554636,879.4280490313419,30.40536559139785,-9.051265591397849,39.4566311827957,17.466893249701315,-1.540797158659533,20.204800059737156,-1.540797158659533,356.80966666666666,62.916,6.179333333333333,62.57640739315584,162.655,21.865666666666666,138.145,21.865666666666666,FAR NORTH CPER 2022,40.856915,-104.713075
FAR NORTH CPER 2023,8.87859775334587,15.826630342429272,40.111458753554636,879.4280490313419,30.40536559139785,-9.051265591397849,39.4566311827957,17.466893249701315,-1.540797158659533,20.204800059737156,-1.540797158659533,356.80966666666666,62.916,6.179333333333333,62.57640739315584,162.655,21.865666666666666,138.145,21.865666666666666,FAR NORTH CPER 2023,40.856915,-104.713075
FtK_Cottonwood_Coulee 2021,8.02458216974622,14.631315635170766,33.32803517183809,1055.8378600974156,31.566505376344086,-12.33441935483871,43.9009247311828,13.075158243727598,-4.9981062672516785,21.216975507765827,-4.9981062672516785,363.06766666666664,74.388,7.584,71.62190556017818,183.22566666666665,26.830666666666666,132.60066666666665,26.830666666666666,FtK_Cottonwood_Coulee 2021,46.3863,-105.9526
FtK_Cottonwood_Coulee 2022,8.02458216974622,14.631315635170766,33.32803517183809,1055.8378600974156,31.566505376344086,-12.33441935483871,43.9009247311828,13.075158243727598,-4.9981062672516785,21.216975507765827,-4.9981062672516785,363.06766666666664,74.388,7.584,71.62190556017818,183.22566666666665,26.830666666666666,132.60066666666665,26.830666666666666,FtK_Cottonwood_Coulee 2022,46.3863,-105.9526
FtK_Lone_Pine 2021,8.143821119659705,14.812368658738986,33.48875646048619,1061.6095600901565,31.87510752688172,-12.355763440860215,44.230870967741936,13.245221206690564,-4.96280118444362,21.396468518518517,-4.96280118444362,349.87100000000004,72.72866666666667,7.202333333333333,72.45371443274664,178.936,25.75266666666667,126.363,25.75266666666667,FtK_Lone_Pine 2021,46.347,-105.8464
FtK_Lone_Pine 2022,8.143821119659705,14.812368658738986,33.48875646048619,1061.6095600901565,31.87510752688172,-12.355763440860215,44.230870967741936,13.245221206690564,-4.96280118444362,21.396468518518517,-4.96280118444362,349.87100000000004,72.72866666666667,7.202333333333333,72.45371443274664,178.936,25.75266666666667,126.363,25.75266666666667,FtK_Lone_Pine 2022,46.347,-105.8464
GoeblS1 2024,10.138551785052174,16.8244032559693,42.65534927748235,845.3962859222653,31.10604301075269,-8.336614336917563,39.44265734767025,8.918229569892473,0.14310946995780163,21.06642485065711,0.14310946995780163,455.7893333333334,63.07533333333334,17.131,40.09560794905199,169.34566666666666,58.47733333333334,135.69833333333332,58.47733333333334,GoeblS1 2024,39.550182,-105.095917
GreenCanyon 2021,8.458525365338323,13.952884033847132,34.5361706521667,945.0489556016812,31.403408602150538,-8.997376344086021,40.400784946236556,7.894608661887694,20.262566666666668,20.262566666666668,-3.26615749922018,511.3986666666667,61.91733333333334,15.445333333333332,33.83781204247563,177.549,67.496,67.496,143.639,GreenCanyon 2021,41.766018,-111.789327
GreenCanyon 2022,8.458525365338323,13.952884033847132,34.5361706521667,945.0489556016812,31.403408602150538,-8.997376344086021,40.400784946236556,7.894608661887694,20.262566666666668,20.262566666666668,-3.26615749922018,511.3986666666667,61.91733333333334,15.445333333333332,33.83781204247563,177.549,67.496,67.496,143.639,GreenCanyon 2022,41.766018,-111.789327
GreenCanyon 2023,8.458525365338323,13.952884033847132,34.5361706521667,945.0489556016812,31.403408602150538,-8.997376344086021,40.400784946236556,7.894608661887694,20.262566666666668,20.262566666666668,-3.26615749922018,511.3986666666667,61.91733333333334,15.445333333333332,33.83781204247563,177.549,67.496,67.496,143.639,GreenCanyon 2023,41.766018,-111.789327
HPGRS AGCR 2022,7.764239228552006,14.779660363072432,39.3874745168345,848.3479376821025,28.74901075268817,-8.774746594982078,37.52375734767025,15.95624366786141,-2.1132932052662863,18.796021445639187,-2.1132932052662863,419.33933333333334,64.78933333333333,7.99,58.87044971564047,183.46566666666666,31.074666666666666,166.60166666666666,31.074666666666666,HPGRS AGCR 2022,41.177913,-104.899046
HPGRS AGCR 2023,7.764239228552006,14.779660363072432,39.3874745168345,848.3479376821025,28.74901075268817,-8.774746594982078,37.52375734767025,15.95624366786141,-2.1132932052662863,18.796021445639187,-2.1132932052662863,419.33933333333334,64.78933333333333,7.99,58.87044971564047,183.46566666666666,31.074666666666666,166.60166666666666,31.074666666666666,HPGRS AGCR 2023,41.177913,-104.899046
HardwareRanch 2022,6.88170495733796,13.547415742727074,35.54873302210776,893.4091748143626,28.667698924731184,-9.441720430107527,38.10941935483871,5.957660513739547,18.13566523297491,18.13566523297491,-3.9870915207079,523.931,59.001666666666665,15.240333333333334,35.562312644830776,174.30033333333333,63.455666666666666,63.455666666666666,160.97066666666666,HardwareRanch 2022,41.613286,-111.567217
HardwareRanch 2023,6.88170495733796,13.547415742727074,35.54873302210776,893.4091748143626,28.667698924731184,-9.441720430107527,38.10941935483871,5.957660513739547,18.13566523297491,18.13566523297491,-3.9870915207079,523.931,59.001666666666665,15.240333333333334,35.562312644830776,174.30033333333333,63.455666666666666,63.455666666666666,160.97066666666666,HardwareRanch 2023,41.613286,-111.567217
