"site1","site2","kinship_avg","lat1","lon1","lat2","lon2"
"Boise_Low 2022","AAFC4",0.733420280898565,NA,NA,50.08,-120.65
"CG PASTURE 2022","AAFC4",0.77946446827944,NA,NA,50.08,-120.65
"CaseAoyamaS1 2022","AAFC4",0.766059225568879,NA,NA,50.08,-120.65
"CastValley 2021","AAFC4",0.725419874656659,NA,NA,50.08,-120.65
"EOARC 2022","AAFC4",0.766734195282812,NA,NA,50.08,-120.65
"EnsingS1 SuRDC 2022","AAFC4",0.78008419974449,NA,NA,50.08,-120.65
"EnsingS2 Summerland-Princeton 2022","AAFC4",0.771104253208797,NA,NA,50.08,-120.65
"EnsingS3 Bear Creek 2022","AAFC4",0.761724220022854,NA,NA,50.08,-120.65
"EnsingS4 Lundbom 2022","AAFC4",0.777341620337138,NA,NA,50.08,-120.65
"FAR NORTH CPER 2022","AAFC4",0.774869212004935,NA,NA,50.08,-120.65
"FtK_Cottonwood_Coulee 2021","AAFC4",0.77739927727602,NA,NA,50.08,-120.65
"FtK_Lone_Pine 2021","AAFC4",0.776160654830414,NA,NA,50.08,-120.65
"GoeblS1 2024","AAFC4",0.76186624822301,NA,NA,50.08,-120.65
"GreenCanyon 2021","AAFC4",0.775711603469451,NA,NA,50.08,-120.65
"HPGRS AGCR 2022","AAFC4",0.779242127933171,NA,NA,50.08,-120.65
"HardwareRanch 2022","AAFC4",0.776935470464974,NA,NA,50.08,-120.65
"K1_vanDiepen 2022","AAFC4",0.773955348963039,NA,NA,50.08,-120.65
"L1_vanDiepen 2022","AAFC4",0.782314153006454,NA,NA,50.08,-120.65
"MPG_IR 2021","AAFC4",0.780491320442392,NA,NA,50.08,-120.65
"MPG_SR 2021","AAFC4",0.78095206659776,NA,NA,50.08,-120.65
"MPG_TH 2021","AAFC4",0.78082257352405,NA,NA,50.08,-120.65
"NEAR 4WAY CPER 2022","AAFC4",0.773823804296941,NA,NA,50.08,-120.65
"NEAR HQ CPER 2022","AAFC4",0.775258670479807,NA,NA,50.08,-120.65
"NEAR NUTNET 2022","AAFC4",0.774597512195522,NA,NA,50.08,-120.65
"OttS1 2022","AAFC4",0.780602693623344,NA,NA,50.08,-120.65
"PMR- Brome 2021","AAFC4",0.777813753684587,NA,NA,50.08,-120.65
"Pearlwise 2024","AAFC4",0.762481002317862,NA,NA,50.08,-120.65
"Peavine 2022","AAFC4",0.740944965062046,NA,NA,50.08,-120.65
"Plymouth 2022","AAFC4",0.732823784670694,NA,NA,50.08,-120.65
"RedBluff 2023","AAFC4",0.782979226592989,NA,NA,50.08,-120.65
"Rush_Valley 2022","AAFC4",0.763845117498831,NA,NA,50.08,-120.65
"SSHQ 2022","AAFC4",0.77646934085632,NA,NA,50.08,-120.65
"SSHigh 2022","AAFC4",0.775146070040219,NA,NA,50.08,-120.65
"SouthEden 2022","AAFC4",0.777792500786543,NA,NA,50.08,-120.65
"Symstad1 2021","AAFC4",0.780600319819063,NA,NA,50.08,-120.65
"Symstad2 2022","AAFC4",0.780340337408895,NA,NA,50.08,-120.65
"TB FIRE 2022","AAFC4",0.776909917220196,NA,NA,50.08,-120.65
"TB LC Control 2022","AAFC4",0.776610330015001,NA,NA,50.08,-120.65
"TB PRAIRIE DOG 2022","AAFC4",0.776698289251817,NA,NA,50.08,-120.65
"Woodruff 2022","AAFC4",0.779152772303846,NA,NA,50.08,-120.65
"dino 2024","AAFC4",0.757695725639251,NA,NA,50.08,-120.65
