"site_old","Type","genotype","Lat","Lon"
"BA","Common_Garden","92",43.208482,-116.995198
"BA","Common_Garden","95",43.208482,-116.995198
"CH","Common_Garden","37",41.212078,-104.852543
"CH","Common_Garden","79",41.212078,-104.852543
"CH","Common_Garden","35",41.212078,-104.852543
"CH","Common_Garden","84",41.212078,-104.852543
"CH","Common_Garden","69",41.212078,-104.852543
"CH","Common_Garden","12",41.212078,-104.852543
"CH","Common_Garden","30",41.212078,-104.852543
"CH","Common_Garden","36",41.212078,-104.852543
"CH","Common_Garden","98",41.212078,-104.852543
"CH","Common_Garden","26",41.212078,-104.852543
"CH","Common_Garden","54",41.212078,-104.852543
"CH","Common_Garden","24",41.212078,-104.852543
"CH","Common_Garden","100",41.212078,-104.852543
"CH","Common_Garden","76",41.212078,-104.852543
"CH","Common_Garden","97",41.212078,-104.852543
"CH","Common_Garden","13",41.212078,-104.852543
"CH","Common_Garden","57",41.212078,-104.852543
"CH","Common_Garden","83",41.212078,-104.852543
"CH","Common_Garden","103",41.212078,-104.852543
"CH","Common_Garden","102",41.212078,-104.852543
"CH","Common_Garden","29",41.212078,-104.852543
"CH","Common_Garden","88",41.212078,-104.852543
"CH","Common_Garden","18",41.212078,-104.852543
"CH","Common_Garden","55",41.212078,-104.852543
"CH","Common_Garden","7",41.212078,-104.852543
"CH","Common_Garden","101",41.212078,-104.852543
"CH","Common_Garden","9",41.212078,-104.852543
"CH","Common_Garden","14",41.212078,-104.852543
"CH","Common_Garden","65",41.212078,-104.852543
"CH","Common_Garden","91",41.212078,-104.852543
"CH","Common_Garden","61",41.212078,-104.852543
"CH","Common_Garden","8",41.212078,-104.852543
"CH","Common_Garden","11",41.212078,-104.852543
"CH","Common_Garden","52",41.212078,-104.852543
"CH","Common_Garden","5",41.212078,-104.852543
"CH","Common_Garden","73",41.212078,-104.852543
"CH","Common_Garden","63",41.212078,-104.852543
"CH","Common_Garden","58",41.212078,-104.852543
"CH","Common_Garden","59",41.212078,-104.852543
"CH","Common_Garden","66",41.212078,-104.852543
"CH","Common_Garden","93",41.212078,-104.852543
"CH","Common_Garden","92",41.212078,-104.852543
"CH","Common_Garden","64",41.212078,-104.852543
"CH","Common_Garden","89",41.212078,-104.852543
"CH","Common_Garden","17",41.212078,-104.852543
"CH","Common_Garden","45",41.212078,-104.852543
"CH","Common_Garden","68",41.212078,-104.852543
"CH","Common_Garden","96",41.212078,-104.852543
"CH","Common_Garden","46",41.212078,-104.852543
"CH","Common_Garden","77",41.212078,-104.852543
"CH","Common_Garden","81",41.212078,-104.852543
"CH","Common_Garden","87",41.212078,-104.852543
"CH","Common_Garden","38",41.212078,-104.852543
"CH","Common_Garden","43",41.212078,-104.852543
"CH","Common_Garden","75",41.212078,-104.852543
"CH","Common_Garden","56",41.212078,-104.852543
"CH","Common_Garden","25",41.212078,-104.852543
"CH","Common_Garden","32",41.212078,-104.852543
"CH","Common_Garden","90",41.212078,-104.852543
"CH","Common_Garden","19",41.212078,-104.852543
"CH","Common_Garden","34",41.212078,-104.852543
"CH","Common_Garden","95",41.212078,-104.852543
"CH","Common_Garden","47",41.212078,-104.852543
"CH","Common_Garden","60",41.212078,-104.852543
"CH","Common_Garden","49",41.212078,-104.852543
"CH","Common_Garden","74",41.212078,-104.852543
"CH","Common_Garden","33",41.212078,-104.852543
"CH","Common_Garden","104",41.212078,-104.852543
"CH","Common_Garden","28",41.212078,-104.852543
"CH","Common_Garden","51",41.212078,-104.852543
"CH","Common_Garden","53",41.212078,-104.852543
"CH","Common_Garden","6",41.212078,-104.852543
"CH","Common_Garden","82",41.212078,-104.852543
"CH","Common_Garden","86",41.212078,-104.852543
"CH","Common_Garden","39",41.212078,-104.852543
"CH","Common_Garden","72",41.212078,-104.852543
"CH","Common_Garden","1",41.212078,-104.852543
"CH","Common_Garden","31",41.212078,-104.852543
"CH","Common_Garden","2",41.212078,-104.852543
"CH","Common_Garden","44",41.212078,-104.852543
"CH","Common_Garden","71",41.212078,-104.852543
"CH","Common_Garden","42",41.212078,-104.852543
"CH","Common_Garden","105",41.212078,-104.852543
"CH","Common_Garden","151",41.212078,-104.852543
"CH","Common_Garden","62",41.212078,-104.852543
"SS","Common_Garden","25",44.24559,-112.214337
"SS","Common_Garden","57",44.24559,-112.214337
"SS","Common_Garden","55",44.24559,-112.214337
"SS","Common_Garden","89",44.24559,-112.214337
"SS","Common_Garden","6",44.24559,-112.214337
"SS","Common_Garden","61",44.24559,-112.214337
"SS","Common_Garden","98",44.24559,-112.214337
"SS","Common_Garden","11",44.24559,-112.214337
"SS","Common_Garden","62",44.24559,-112.214337
"SS","Common_Garden","103",44.24559,-112.214337
"SS","Common_Garden","5",44.24559,-112.214337
"SS","Common_Garden","2",44.24559,-112.214337
"SS","Common_Garden","24",44.24559,-112.214337
"SS","Common_Garden","39",44.24559,-112.214337
"SS","Common_Garden","91",44.24559,-112.214337
"SS","Common_Garden","35",44.24559,-112.214337
"SS","Common_Garden","65",44.24559,-112.214337
"SS","Common_Garden","51",44.24559,-112.214337
"SS","Common_Garden","44",44.24559,-112.214337
"SS","Common_Garden","45",44.24559,-112.214337
"SS","Common_Garden","17",44.24559,-112.214337
"SS","Common_Garden","59",44.24559,-112.214337
"SS","Common_Garden","102",44.24559,-112.214337
"SS","Common_Garden","60",44.24559,-112.214337
"SS","Common_Garden","63",44.24559,-112.214337
"SS","Common_Garden","77",44.24559,-112.214337
"SS","Common_Garden","66",44.24559,-112.214337
"SS","Common_Garden","95",44.24559,-112.214337
"SS","Common_Garden","29",44.24559,-112.214337
"SS","Common_Garden","14",44.24559,-112.214337
"SS","Common_Garden","83",44.24559,-112.214337
"SS","Common_Garden","9",44.24559,-112.214337
"SS","Common_Garden","79",44.24559,-112.214337
"SS","Common_Garden","75",44.24559,-112.214337
"SS","Common_Garden","96",44.24559,-112.214337
"SS","Common_Garden","56",44.24559,-112.214337
"SS","Common_Garden","52",44.24559,-112.214337
"SS","Common_Garden","33",44.24559,-112.214337
"SS","Common_Garden","18",44.24559,-112.214337
"SS","Common_Garden","76",44.24559,-112.214337
"SS","Common_Garden","88",44.24559,-112.214337
"SS","Common_Garden","8",44.24559,-112.214337
"SS","Common_Garden","73",44.24559,-112.214337
"SS","Common_Garden","101",44.24559,-112.214337
"SS","Common_Garden","54",44.24559,-112.214337
"SS","Common_Garden","71",44.24559,-112.214337
"SS","Common_Garden","1",44.24559,-112.214337
"SS","Common_Garden","43",44.24559,-112.214337
"SS","Common_Garden","42",44.24559,-112.214337
"SS","Common_Garden","74",44.24559,-112.214337
"SS","Common_Garden","7",44.24559,-112.214337
"SS","Common_Garden","19",44.24559,-112.214337
"SS","Common_Garden","31",44.24559,-112.214337
"SS","Common_Garden","26",44.24559,-112.214337
"SS","Common_Garden","12",44.24559,-112.214337
"SS","Common_Garden","58",44.24559,-112.214337
"SS","Common_Garden","53",44.24559,-112.214337
"SS","Common_Garden","84",44.24559,-112.214337
"SS","Common_Garden","82",44.24559,-112.214337
"SS","Common_Garden","47",44.24559,-112.214337
"SS","Common_Garden","69",44.24559,-112.214337
"SS","Common_Garden","30",44.24559,-112.214337
"SS","Common_Garden","105",44.24559,-112.214337
"SS","Common_Garden","28",44.24559,-112.214337
"SS","Common_Garden","87",44.24559,-112.214337
"SS","Common_Garden","49",44.24559,-112.214337
"SS","Common_Garden","104",44.24559,-112.214337
"SS","Common_Garden","46",44.24559,-112.214337
"SS","Common_Garden","37",44.24559,-112.214337
"SS","Common_Garden","32",44.24559,-112.214337
"SS","Common_Garden","36",44.24559,-112.214337
"SS","Common_Garden","90",44.24559,-112.214337
"SS","Common_Garden","34",44.24559,-112.214337
"SS","Common_Garden","81",44.24559,-112.214337
"SS","Common_Garden","100",44.24559,-112.214337
"SS","Common_Garden","86",44.24559,-112.214337
"SS","Common_Garden","97",44.24559,-112.214337
"SS","Common_Garden","92",44.24559,-112.214337
"SS","Common_Garden","68",44.24559,-112.214337
"SS","Common_Garden","72",44.24559,-112.214337
"SS","Common_Garden","13",44.24559,-112.214337
"SS","Common_Garden","38",44.24559,-112.214337
"SS","Common_Garden","64",44.24559,-112.214337
"SS","Common_Garden","93",44.24559,-112.214337
"SS","Common_Garden","150",44.24559,-112.214337
"WI","Common_Garden","54",43.47437,-116.90177
"WI","Common_Garden","63",43.47437,-116.90177
"WI","Common_Garden","103",43.47437,-116.90177
"WI","Common_Garden","14",43.47437,-116.90177
"WI","Common_Garden","64",43.47437,-116.90177
"WI","Common_Garden","46",43.47437,-116.90177
"WI","Common_Garden","60",43.47437,-116.90177
"WI","Common_Garden","101",43.47437,-116.90177
"WI","Common_Garden","5",43.47437,-116.90177
"WI","Common_Garden","30",43.47437,-116.90177
"WI","Common_Garden","8",43.47437,-116.90177
"WI","Common_Garden","28",43.47437,-116.90177
"WI","Common_Garden","97",43.47437,-116.90177
"WI","Common_Garden","3",43.47437,-116.90177
"WI","Common_Garden","19",43.47437,-116.90177
"WI","Common_Garden","150",43.47437,-116.90177
"WI","Common_Garden","37",43.47437,-116.90177
"WI","Common_Garden","89",43.47437,-116.90177
"WI","Common_Garden","16",43.47437,-116.90177
"WI","Common_Garden","33",43.47437,-116.90177
"WI","Common_Garden","104",43.47437,-116.90177
"WI","Common_Garden","42",43.47437,-116.90177
"WI","Common_Garden","38",43.47437,-116.90177
"WI","Common_Garden","36",43.47437,-116.90177
"WI","Common_Garden","58",43.47437,-116.90177
"WI","Common_Garden","51",43.47437,-116.90177
"WI","Common_Garden","34",43.47437,-116.90177
"WI","Common_Garden","76",43.47437,-116.90177
"WI","Common_Garden","82",43.47437,-116.90177
"WI","Common_Garden","71",43.47437,-116.90177
"WI","Common_Garden","29",43.47437,-116.90177
"WI","Common_Garden","62",43.47437,-116.90177
"WI","Common_Garden","45",43.47437,-116.90177
"WI","Common_Garden","6",43.47437,-116.90177
"WI","Common_Garden","47",43.47437,-116.90177
"WI","Common_Garden","84",43.47437,-116.90177
"WI","Common_Garden","73",43.47437,-116.90177
"WI","Common_Garden","12",43.47437,-116.90177
"WI","Common_Garden","65",43.47437,-116.90177
"WI","Common_Garden","39",43.47437,-116.90177
"WI","Common_Garden","40",43.47437,-116.90177
"WI","Common_Garden","70",43.47437,-116.90177
"WI","Common_Garden","77",43.47437,-116.90177
"WI","Common_Garden","53",43.47437,-116.90177
"WI","Common_Garden","99",43.47437,-116.90177
"WI","Common_Garden","75",43.47437,-116.90177
"WI","Common_Garden","81",43.47437,-116.90177
"WI","Common_Garden","68",43.47437,-116.90177
"WI","Common_Garden","7",43.47437,-116.90177
"WI","Common_Garden","93",43.47437,-116.90177
"WI","Common_Garden","83",43.47437,-116.90177
"WI","Common_Garden","96",43.47437,-116.90177
"WI","Common_Garden","72",43.47437,-116.90177
"WI","Common_Garden","17",43.47437,-116.90177
"WI","Common_Garden","102",43.47437,-116.90177
"WI","Common_Garden","44",43.47437,-116.90177
"WI","Common_Garden","31",43.47437,-116.90177
"WI","Common_Garden","1",43.47437,-116.90177
"WI","Common_Garden","43",43.47437,-116.90177
"WI","Common_Garden","55",43.47437,-116.90177
"WI","Common_Garden","32",43.47437,-116.90177
"WI","Common_Garden","79",43.47437,-116.90177
"WI","Common_Garden","13",43.47437,-116.90177
"WI","Common_Garden","105",43.47437,-116.90177
"WI","Common_Garden","100",43.47437,-116.90177
"WI","Common_Garden","26",43.47437,-116.90177
"WI","Common_Garden","48",43.47437,-116.90177
"WI","Common_Garden","86",43.47437,-116.90177
"WI","Common_Garden","11",43.47437,-116.90177
"WI","Common_Garden","21",43.47437,-116.90177
"WI","Common_Garden","18",43.47437,-116.90177
"WI","Common_Garden","56",43.47437,-116.90177
"WI","Common_Garden","91",43.47437,-116.90177
"WI","Common_Garden","59",43.47437,-116.90177
"WI","Common_Garden","90",43.47437,-116.90177
"WI","Common_Garden","2",43.47437,-116.90177
"WI","Common_Garden","67",43.47437,-116.90177
"WI","Common_Garden","27",43.47437,-116.90177
"WI","Common_Garden","35",43.47437,-116.90177
"WI","Common_Garden","25",43.47437,-116.90177
"WI","Common_Garden","57",43.47437,-116.90177
"WI","Common_Garden","66",43.47437,-116.90177
"WI","Common_Garden","92",43.47437,-116.90177
"WI","Common_Garden","49",43.47437,-116.90177
"WI","Common_Garden","74",43.47437,-116.90177
"WI","Common_Garden","20",43.47437,-116.90177
"WI","Common_Garden","24",43.47437,-116.90177
"WI","Common_Garden","9",43.47437,-116.90177
"WI","Common_Garden","98",43.47437,-116.90177
"WI","Common_Garden","88",43.47437,-116.90177
"WI","Common_Garden","69",43.47437,-116.90177
"WI","Common_Garden","95",43.47437,-116.90177
"WI","Common_Garden","61",43.47437,-116.90177
"WI","Common_Garden","52",43.47437,-116.90177
"WI","Common_Garden","87",43.47437,-116.90177
"WI","Common_Garden","23",43.47437,-116.90177
