"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121"
"1",1,0.871863632911346,0.897428396212336,0.846973384818425,0.84249047053485,0.857947160162553,0.784343636350381,0.797615593028038,0.794813198293238,0.80417590131688,0.827712942034161,0.821402768668288,0.823494429739806,0.842254091032479,0.777675611866987,0.824365930634168,0.797044916435738,0.82328863949128,0.795951027244789,0.816197764471382,0.822979917472184,0.813381817776864,0.806738956469253,0.752705594566225,0.735188497374607,0.742299716874501,0.746243218553206,0.743695402904656,0.819812730060744,0.790195313490328,0.82365311654273,0.840616759101223,0.793954022317317,0.842976271116147,0.83005348387998,0.771003196638179,0.790380852231333,0.782719450106416,0.781275560101891,0.766331136139053,0.835880249242622,0.8119410212083,0.792160538649515,0.815348768811643,0.839911529883149,0.763020954948941,0.750024899749519,0.761607381119028,0.724040789874677,0.754109993385501,0.838629189040834,0.810105275944361,0.830197604703744,0.843826135635337,0.755706946105311,0.736753169738859,0.838842604674924,0.800406848591238,0.7929326711059,0.853973229950052,0.801388038984622,0.788767826383077,0.836840782249417,0.807155063760878,0.834002599231135,0.793321886954654,0.816966717708966,0.779267837950175,0.770070641597634,0.830812595945386,0.809345246618007,0.815097604672056,0.839721270703225,0.805387053491354,0.818902015692229,0.831719889360319,0.824945812948818,0.824861715312978,0.70811543075249,0.797665037095674,0.801650405236637,0.805503281868856,0.781353841322193,0.831099218527852,0.785326702301612,0.860965927617904,0.861128076420007,0.870372625732949,0.845524226359627,0.813190544869491,0.829006341310824,0.834357815887942,0.818613745601765,0.836306985656682,0.836308172992787,0.824552181145141,0.85143898776753,0.832167584200211,0.786648165208763,0.760697974166867,0.760380764319364,0.806063780327759,0.807199974302742,0.789796763857818,0.80638674660928,0.830345261636673,0.850170247669872,0.799009495908735,0.775239447802756,0.792487202150354,0.813643065121904,0.806714610427678,0.816720709337024,0.809313413901184,0.82919071703585,0.83503018557409,0.830791531747408,0.823851826105406,0.806773086595376,0.77981661321066,0.814748371707351
"2",0.871863632911346,1,0.807060937915031,0.88748750782874,0.912221555748136,0.915677823243122,0.823480135789054,0.805698680093737,0.779851467063948,0.839391834924033,0.825654751502039,0.807061836543465,0.800206335038963,0.814186895386268,0.824136854231332,0.796004538878822,0.789059584710458,0.821570807003112,0.786006601592213,0.84291011544553,0.83339602406485,0.835373550539636,0.822553109642237,0.761607478753138,0.762463796256381,0.772060221004573,0.76868080834755,0.768439495441601,0.820604749649778,0.817462550774699,0.807040303844025,0.806139544186434,0.855076400023823,0.812708947625537,0.867296753843701,0.778607063139028,0.83234525214372,0.797610299009804,0.7871950084237,0.779369954713785,0.821564751200817,0.839341839894843,0.790892022123883,0.796318922186845,0.862982989863576,0.76340968900508,0.755138405311434,0.768931940534929,0.744923689310303,0.770672979883969,0.814430668780517,0.825002681152673,0.855799361461744,0.877274005925872,0.766440594478144,0.725988079446559,0.809891951277789,0.796965982157121,0.787895765642622,0.908436115055879,0.777163315188802,0.79883805912005,0.846715272437545,0.814562448264797,0.809799853619488,0.834315624067985,0.817905165864994,0.81947680629338,0.77857521979179,0.821108470943101,0.798334698664323,0.836985538658973,0.815056351111836,0.799523661486474,0.808201020641119,0.825436167779055,0.865827153895165,0.811480379121394,0.716856027392155,0.809852752929984,0.808153015787337,0.803648250256012,0.82251829597141,0.84797791223838,0.805268972779465,0.859462963882355,0.850814199940718,0.856065163410193,0.825513983853492,0.819243176290259,0.835802028131554,0.804162283837451,0.827238867311546,0.80703021938102,0.83765481679633,0.806140840549117,0.835548484349491,0.825898998687576,0.76840902982864,0.745053830141042,0.753732166485053,0.811462976965418,0.830575510038351,0.817874297968333,0.803171818106059,0.830646068376587,0.828133231052711,0.793739082903886,0.813908989981522,0.799571925130277,0.841783065250337,0.83623927428497,0.7959865399918,0.829374688649706,0.805596825798845,0.827371324219341,0.829473385215261,0.821594690737559,0.79529861705839,0.854269434006281,0.844101467895142
"3",0.897428396212336,0.807060937915032,1,0.825901379603638,0.786749100177129,0.79006175758185,0.780310901498883,0.814755481140292,0.859262333282194,0.793298763897709,0.829763799235043,0.849322341844714,0.828617067994858,0.837932138560041,0.785267034591927,0.834017279964619,0.806032876999389,0.821777987003894,0.807147241376551,0.788592791299932,0.793158873555266,0.793470644120416,0.782247755308613,0.739261112727451,0.742653136458988,0.746289368147365,0.737731118400779,0.745359593545987,0.826907348336389,0.789205762156806,0.824117772409363,0.840494583251284,0.79214463803385,0.855332495775085,0.800082951324922,0.773137028769872,0.770449656423999,0.770624687534934,0.777362585328288,0.787558006673245,0.844077357777946,0.794025591133021,0.808742690450083,0.822388370013361,0.784336688104473,0.765553158383709,0.755562735502109,0.7589927213437,0.725040456989533,0.742062551824672,0.850188798323496,0.808868177975608,0.81338178969212,0.80489624717716,0.776746229540355,0.731628957579129,0.843982285648459,0.81533590939627,0.803338350110502,0.794597409239039,0.852896413790152,0.811982619856085,0.801396169962283,0.830549364088213,0.824591686068438,0.793029125876407,0.834400451825644,0.802946715486882,0.776223961458197,0.836041275122049,0.798825375613587,0.785853825893283,0.837556310981625,0.815773905570764,0.838734183269226,0.824004908901304,0.79672186545873,0.826830039645071,0.719069970416715,0.803872215140173,0.794921272043387,0.812035931893905,0.811790180163063,0.82327220245383,0.815135590868332,0.845984434402977,0.811846810692587,0.853702192799577,0.82873569524216,0.798526295850349,0.847380712303555,0.848614138949139,0.813705398971518,0.832648665554412,0.829049015585508,0.846717356547155,0.843123329174085,0.839277549890023,0.765891612370745,0.717273007959079,0.785362545946873,0.810297270182095,0.788764462445882,0.795985211546926,0.765977329413674,0.824037053786134,0.815297603696563,0.757406861740838,0.789163092132513,0.756521040313386,0.820734618943403,0.815709824539665,0.800068045646531,0.788930159735368,0.822166519485992,0.807446239678062,0.809194007400709,0.813932283367871,0.838706425928137,0.815799665636779,0.812045096422528
"4",0.846973384818425,0.88748750782874,0.825901379603638,1,0.850509430628951,0.866757477099332,0.818950372025514,0.821012140194653,0.815745699820709,0.844159890706974,0.837116012435391,0.838901861578612,0.849007074285881,0.861252811891373,0.814824355607114,0.859129435102842,0.794422273656589,0.846189606853003,0.809899465511544,0.822084058152065,0.815238071299091,0.839534331652031,0.811658020609363,0.746652974512163,0.751804142744672,0.764033222073403,0.756870309730438,0.759978945507001,0.853892715003033,0.812509109131634,0.829713038005146,0.852298414697454,0.832882218921099,0.869730869769257,0.830461993579077,0.781510776167633,0.811984325817041,0.791654287191696,0.809008347958256,0.801527126049561,0.85629817298377,0.839473828268347,0.818167668276551,0.83551298701968,0.843943525548645,0.761286014241087,0.755991634794877,0.754052061950801,0.738127804728954,0.764100039277625,0.85487933346492,0.818370388910783,0.849449064501274,0.847440690059105,0.773114154628051,0.696025865779614,0.855034256410899,0.800625585371609,0.797542272094944,0.864738289812603,0.802877493729883,0.809152191654238,0.828053403676062,0.83517612245055,0.842819055644651,0.823637378529895,0.840563825356418,0.807184994018935,0.783722433723847,0.845634376056625,0.808826139955287,0.802045154750621,0.839498037423951,0.795404760317915,0.84072185242947,0.847529448563573,0.863226818240236,0.829560683795458,0.732832841168448,0.790126586771995,0.774005391336589,0.795516586092095,0.823496970216164,0.851040627599148,0.821586494789434,0.851444644500124,0.819970652601304,0.865348585270019,0.823968027409669,0.831552760202664,0.846446330395648,0.828101729289312,0.835344461766721,0.797338244996849,0.825577671621658,0.808213863563031,0.845692459982993,0.801365779973508,0.769897067754965,0.765011330709218,0.716129188994556,0.818851468038763,0.835322852683581,0.822509812038126,0.801970853682085,0.830575959467478,0.792196008926393,0.777750493801793,0.795484925034269,0.788381398062811,0.85226504690851,0.796562450792773,0.798570636976623,0.838669622991513,0.814050246068221,0.815801743729437,0.810249210034246,0.842762194690295,0.830025575364649,0.854971021135245,0.826193028222425
"5",0.84249047053485,0.912221555748136,0.786749100177129,0.850509430628951,1,0.974344410810786,0.813901384096856,0.781603161335993,0.778217195096596,0.841070622350213,0.811219845999233,0.788168797946312,0.800773292913237,0.797705536591441,0.813868108689993,0.798511753430533,0.780482914350718,0.80771023826036,0.791598804676991,0.837807364636365,0.831778627081279,0.823314197517253,0.826044292437767,0.755873633167986,0.75154558689311,0.769348401377203,0.764829051296602,0.764425313021117,0.809747963377699,0.801013312274912,0.786632964789546,0.800531187293359,0.857191805848151,0.802794588711404,0.855547587315627,0.770372544078115,0.817149970398024,0.794820565166497,0.773251706522487,0.772660381043488,0.808219693820559,0.851619989569045,0.772695378650404,0.789456728704248,0.833357163069385,0.763903739103605,0.751903409089189,0.771953744639347,0.743299927689558,0.754196600437571,0.808453312755786,0.822778668975224,0.844459493432321,0.877908920504498,0.77433157391775,0.722353100169,0.796677760503132,0.786496580355882,0.779957679973322,0.865917970049326,0.75122419157864,0.794059565411049,0.834692883992055,0.8008577544042,0.808891225173498,0.843832296316037,0.812859855719216,0.808899067257267,0.767852618075744,0.815472931106514,0.777608190439504,0.826224922587604,0.80983188033479,0.77928652380757,0.792910731841076,0.820503693555565,0.84986384245346,0.804981383071843,0.724182456967122,0.822191724253343,0.791801532147423,0.82402980386742,0.797663008023333,0.831464808093895,0.839083833260631,0.866185658269186,0.861339863849401,0.859777813287586,0.849925384288639,0.805733214841209,0.81543457425548,0.82742555003994,0.812881072637551,0.814215094216059,0.818646147878101,0.806472932283222,0.817168913902672,0.841263840448889,0.783068901562997,0.769717294910335,0.760799708356546,0.818818436527498,0.81355456676491,0.831673148250149,0.799490850404101,0.800840638247527,0.778511377019268,0.842484601173657,0.811560493385315,0.746126569398314,0.820656359039496,0.816216903286833,0.795185936923047,0.86250163835017,0.83861758603907,0.811773222156347,0.820177763805337,0.786526333199909,0.804620038922263,0.835348044277433,0.833555413667819
"6",0.857947160162553,0.915677823243122,0.79006175758185,0.866757477099332,0.974344410810786,1,0.81715234140997,0.795823576605608,0.778537510187545,0.845486318756854,0.801433027700398,0.793669074841044,0.795552098051702,0.80615119876542,0.816361801678374,0.796146435321822,0.772831837259119,0.811618704409328,0.781185002359751,0.831651109966313,0.840003579241011,0.813342962526859,0.826592916587731,0.753117635451898,0.748446714350192,0.759784403265706,0.762427620166729,0.764956955421383,0.796318683391748,0.803941858538896,0.789749335566689,0.814583774205821,0.860206625609109,0.80517072912384,0.862657789729657,0.777056757880068,0.830057946077701,0.797342888030945,0.788057101555341,0.775277192641126,0.808346895319824,0.852972053159665,0.773144137548181,0.793307292190498,0.842350187638336,0.772269259412929,0.767516775853036,0.770693003935954,0.749868075101269,0.756980251089937,0.799490544966786,0.823690086707191,0.853896742919619,0.881711789398119,0.776612708051124,0.73287756842216,0.806601180602085,0.789933337823166,0.777888277880514,0.870387573466503,0.762549548473749,0.786115858821215,0.832828177203393,0.805141278135888,0.808676183321378,0.842133516033333,0.806356915298607,0.802791398955155,0.774763158278453,0.808239066574928,0.782140300052898,0.825393277617891,0.813638668689539,0.772923574761028,0.797719717655709,0.81955592312597,0.851111909592973,0.808196461717599,0.717097346948868,0.83388445724263,0.822150194127468,0.800329928455898,0.813168263330035,0.832226970710597,0.799228632322322,0.870391324236918,0.857577073755899,0.875469447239263,0.856164674133981,0.794781763771496,0.837251825367022,0.841752227610524,0.811094600919489,0.803971511026125,0.81739214037308,0.808008781982845,0.830358144825086,0.833023654964184,0.803406393566327,0.766323216579863,0.744619616284002,0.819869723871987,0.825295800863778,0.841797279011585,0.817998951288006,0.823111754959244,0.793344276679978,0.840387288315852,0.809220209072646,0.785359645958998,0.803994821641372,0.828605961693443,0.782831687632721,0.858760046271498,0.85214372122358,0.827297806029758,0.824605416921457,0.800599307626638,0.830683967670806,0.841009352987962,0.825268539096475
"7",0.784343636350381,0.823480135789054,0.780310901498883,0.818950372025514,0.813901384096856,0.81715234140997,1,0.808131634159672,0.776595911253186,0.887821217205215,0.802993112900497,0.788504792001404,0.796814919153283,0.806539259107634,0.87001667032966,0.800071471758684,0.783056141682526,0.801235645154582,0.788778328317431,0.844989485552629,0.825434764066056,0.880003381521037,0.822738351149932,0.765988391692412,0.765630105608279,0.776458910130888,0.747760931955636,0.757773646729197,0.812884250508674,0.843617919030498,0.79453468423929,0.79606893733826,0.904617329545471,0.795990251947943,0.781759197519505,0.794094230319824,0.816953844270346,0.787784643119087,0.812457594901356,0.770274819002097,0.818803439439682,0.914895648305157,0.774462797562176,0.812361686937672,0.799917998592601,0.781871138096514,0.754830645843497,0.779392327241795,0.754543213871441,0.770921943886785,0.81120849775856,0.857432501926683,0.895834762231338,0.804693695946094,0.750667977187465,0.725418794968634,0.81092747163672,0.774421866292832,0.765067973267006,0.828803710653671,0.760628226475465,0.801739364601286,0.787769660400391,0.790930883370197,0.800407385283029,0.920268227937806,0.795020445929436,0.783221672422781,0.761522872043791,0.803060470964466,0.788769593666816,0.827662140836223,0.809270012635415,0.779512061298303,0.793811621918368,0.800917622156414,0.828447895503433,0.794912995664785,0.757980935723964,0.82738405366196,0.810802635158233,0.792680334986848,0.832699511621738,0.835116120998329,0.83791842896062,0.746968793631243,0.782113385724118,0.767010164016935,0.800494013905304,0.821243152313519,0.847363600821514,0.804809092758555,0.826238535986029,0.798708345476804,0.808563953406541,0.737271710717146,0.821743210150958,0.822632208362188,0.781332414539732,0.782201191757602,0.778725358989669,0.772627026955159,0.795893502416103,0.80307472618043,0.784492547111788,0.770640558312992,0.764333113613334,0.767465144657847,0.800940085511957,0.784707245676017,0.817510495568417,0.809187237179594,0.788009460862667,0.789938310555174,0.769850018776938,0.783517563161595,0.807679093799317,0.775124265389519,0.8341645603307,0.805690103809457,0.827061074458247
"8",0.797615593028038,0.805698680093737,0.814755481140292,0.821012140194653,0.781603161335993,0.795823576605608,0.808131634159672,1,0.813593992672626,0.805996065029934,0.821083350291419,0.827222452892751,0.816376654447441,0.836400658341507,0.846495498038914,0.822513738836652,0.893357072321951,0.825725516618315,0.838429220072766,0.78338722491479,0.802720530451725,0.812803462323787,0.788054264597724,0.760991395306278,0.76179249243047,0.765327564617889,0.759371596348154,0.759190301122602,0.849581646461762,0.836586966503596,0.823677971849666,0.816804153047821,0.798560678616131,0.821397414146746,0.807971814925507,0.809235568680296,0.80632783839184,0.780684332565413,0.793685253931265,0.839817273793289,0.829720648307571,0.794752924898286,0.848483310771562,0.849777563025964,0.808248803752702,0.765756031046389,0.752886722776603,0.769022157315598,0.752972294485978,0.760627812155697,0.820686209715711,0.836533375896066,0.811830885067905,0.82519216594546,0.806258563972226,0.748318821569125,0.825971307400861,0.879488618257766,0.873803580294672,0.8064000163387,0.80838437083134,0.823998809742967,0.847852624881419,0.867633050859354,0.826614519033772,0.785137573127117,0.847545199330262,0.826017284499268,0.837047565006964,0.826716753311359,0.890975210265926,0.797264577251584,0.825390648553722,0.893679465178698,0.812535486644617,0.823385259785334,0.821988694068284,0.837661268441412,0.715736226441303,0.784883573872629,0.792129686203781,0.81923547473452,0.825332724510426,0.817215966577888,0.839394833759443,0.783574251030421,0.816302048000617,0.822560394807689,0.821773620356809,0.814195550885243,0.844977589760627,0.802343610800648,0.813291602734497,0.778753907603484,0.81809353799024,0.80021346375945,0.84601213398337,0.838138212236509,0.772490400898272,0.77393023674441,0.787235131678602,0.82308872799716,0.835621352034956,0.813182978316266,0.791470856913876,0.842731442548781,0.81909877563214,0.780289318842323,0.817765421802906,0.833777976357851,0.80934182080246,0.773127454571613,0.810761628477202,0.816953780803396,0.769030734706065,0.799359887802288,0.813483682199932,0.774933022503878,0.796979777962891,0.793532455382643,0.849269301980623
"9",0.794813198293238,0.779851467063948,0.859262333282194,0.815745699820709,0.778217195096596,0.778537510187545,0.776595911253186,0.813593992672626,1,0.783790799633031,0.842083172938551,0.817318194970772,0.845970977700443,0.85100000049836,0.780027101774996,0.842372928131291,0.778966831505913,0.82128655283796,0.803184333924051,0.759392595499492,0.790369305022537,0.811261212438391,0.774508001124678,0.715411040711959,0.720940316236294,0.726563076941126,0.721114199546702,0.734232446582832,0.82201559222107,0.784998747780621,0.833031059405152,0.845696587464605,0.774989348584962,0.847197937012821,0.804068525201898,0.767636395148984,0.76669422804311,0.768186218305204,0.788294037287093,0.78806291068129,0.850594687935188,0.78798530449891,0.800726825915173,0.823917666582782,0.789321266542061,0.728497530878218,0.719933261760451,0.738790382772605,0.716262498107458,0.728761503051593,0.841474609340765,0.804861552659788,0.77815560746599,0.832248358579876,0.772716565027183,0.716760091443485,0.84592636703584,0.792350652448622,0.793423832319109,0.794395467171918,0.918677736226327,0.816106295711904,0.783432224988787,0.822595488384917,0.851522387493939,0.756585755736316,0.797250770249249,0.80150420718019,0.781990114745159,0.840751163880849,0.78165044795925,0.783697650163373,0.842432449154297,0.783757289314194,0.877424503238498,0.852771121900284,0.790659213905431,0.810533956692866,0.698342081681027,0.799306214174475,0.773231675393245,0.822361769697869,0.828767958377802,0.805670453246607,0.835688456201125,0.791350831386658,0.790792721022245,0.814035134742628,0.770390631789324,0.795616512770112,0.762879976879536,0.803840575448261,0.831810210699657,0.771093056707494,0.803815381273091,0.759168390080499,0.81647014248059,0.833783244957264,0.748548684463697,0.809368305545666,0.779117309314231,0.831970193276211,0.805426004152533,0.780370330808333,0.75367051532327,0.84043550362411,0.790818190357114,0.799059821283857,0.787554978395126,0.768572434048038,0.781293019710755,0.770682040144362,0.77981659934887,0.798755771006289,0.819030995300329,0.804395921350652,0.79111422486318,0.803572133264693,0.795824780760098,0.82137596138599,0.808027312485155
"10",0.80417590131688,0.839391834924033,0.793298763897709,0.844159890706974,0.841070622350213,0.845486318756854,0.887821217205215,0.805996065029934,0.783790799633031,1,0.808665546230541,0.810392458041517,0.793734304251302,0.794950363796441,0.841324708658861,0.797223881168145,0.799700180764216,0.831014585940265,0.797720726243242,0.862269074007766,0.84161249473447,0.87794654405396,0.843866905764067,0.763879491105165,0.771958705853584,0.788542982654991,0.771712295856066,0.764460388786057,0.830065873289433,0.865749387969922,0.795337614062057,0.807565079375896,0.888242942767701,0.804125078473447,0.808310975868447,0.827078998643757,0.835847758159321,0.804281725463164,0.827030916801267,0.796991697858101,0.840368366609627,0.90594375020452,0.795098235914824,0.827064989843908,0.826696629876192,0.770621801319336,0.75577165689612,0.774109553258741,0.766654930467471,0.771418581694256,0.808215708711097,0.859160730278452,0.882658361972425,0.811006438086773,0.77257335137882,0.699870887671409,0.800683975255663,0.787875845199367,0.777826692966005,0.830923216728922,0.793044634873241,0.818726766065974,0.789509972230102,0.815084453594457,0.804697669294855,0.910062380689216,0.820389610746372,0.798463441065696,0.773786393506793,0.795225793590089,0.807335434050359,0.856046369348223,0.815749346754026,0.788798766411656,0.800141676695956,0.793613613570288,0.834067194849858,0.797210519302398,0.756294646067264,0.818199134464835,0.816550990452069,0.790074906551277,0.830543521706977,0.834484140894849,0.826590199884988,0.781516454157056,0.814178661293751,0.797572555699718,0.788271147393868,0.800615118010132,0.816242561936005,0.805034979900845,0.801863399534598,0.817446082196934,0.780257654961043,0.770433516975236,0.81626432037237,0.815845655380118,0.802580110628729,0.736564289276017,0.743834889923371,0.767306355516811,0.771792033899345,0.769072486043759,0.815384351146384,0.776593081031687,0.800819654484462,0.816122575619928,0.784188787516864,0.788393780529493,0.809819741831377,0.774977241951528,0.770927757568364,0.85327852776811,0.80997884115416,0.801138859530679,0.785785779030395,0.819023321662694,0.824093484142202,0.803224018976903,0.806539397021406
