"Category","ID","Latitude","Longitude","Date","SMAP_Tile","SPL3SMP_E_006_Line_Y_9km","SPL3SMP_E_006_Sample_X_9km","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_dca","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scah","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_soil_moisture_scav","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_AM_surface_temperature","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_clay_fraction_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_dca_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_error_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scah_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_soil_moisture_scav_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_surface_temperature_pm","SPL3SMP_E_006_Soil_Moisture_Retrieval_Data_PM_vegetation_water_content_pm"
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-26","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-27","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.246181,-9999,0.246181,0.143749,0.2041943,275.200531,0.3036325
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-28","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2278063,-9999,0.2278063,0.1400873,0.1943697,275.3102417,0.3028675
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-29","h00v00",255,674,0.2180051,0.2180051,0.1291854,0.1837254,275.1776733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-30","h00v00",255,674,0.2481507,0.2481507,0.1095017,0.1837565,275.3025818,0.2238095,0.219891,-9999,0.219891,0.1357698,0.1877753,275.3307495,0.301361
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-01-31","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-01","h00v00",255,674,0.2279866,0.2279866,0.1418179,0.1914419,275.4529419,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-02","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2463,-9999,0.2463,0.1497449,0.2083154,279.3511047,0.2991236
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-03","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-04","h00v00",255,674,-9999,-9999,-9999,-9999,273.9993286,0.2238095,-9999,-9999,-9999,-9999,-9999,274.4792175,0.2976609
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-05","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,-9999,-9999,-9999,-9999,-9999,274.4168396,0.2969148
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-06","h00v00",255,674,-9999,-9999,-9999,-9999,274.9561157,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-07","h00v00",255,674,0.2271274,0.2271274,0.1327145,0.1896839,275.3109436,0.2238095,0.237857,-9999,0.237857,0.1357759,0.1958572,275.2637939,0.2963539
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-08","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-09","h00v00",255,674,0.1739308,0.1739308,0.0855116,0.1435334,275.1396179,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-10","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,0.2238095,0.2246758,-9999,0.2246758,0.1292396,0.18654,275.3832703,0.2955697
"CommonGarden","Baltzor",43.208482,-116.995198,"2020-02-11","h00v00",255,674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
