site_code,bioclim_1,bioclim_2,bioclim_3,bioclim_4,bioclim_5,bioclim_6,bioclim_7,bioclim_8,bioclim_9,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,NewSiteCode,PopNum,Latitude,Longitude
AAFC10,5.36381443424793,11.252577722160424,34.35635384275961,805.4704076676062,24.245784946236558,-8.506752688172043,32.7525376344086,-3.6402589605734765,15.002775209080049,15.296369653524494,-4.338033481646273,512.2049999999999,59.342666666666666,28.295666666666666,27.587198801128963,172.66133333333335,93.28433333333332,118.97499999999998,150.04933333333332,AAFC10,118,49.71,-120.05
AAFC2,8.120067492908051,10.176671817892897,31.448504534999444,829.6491920820838,26.970505376344086,-5.389290322580646,32.35979569892473,-1.0389890681003584,3.456661787641765,18.462603345280765,-1.897571306742942,483.37100000000004,55.47966666666667,27.188333333333333,26.091233485608623,158.37033333333332,89.66,114.72066666666666,139.22333333333333,AAFC2,112,49.94,-119.51
AAFC4,4.1639646127972885,12.801776200187156,37.23080479859895,796.9803630709818,23.599333333333334,-10.785569892473118,34.384903225806454,-4.90263578255675,-0.16372338871526818,13.891379032258065,-5.5723432811883855,439.41700000000003,51.214333333333336,24.259333333333334,26.853212642334274,143.87866666666667,78.58633333333333,104.10499999999999,120.40933333333334,AAFC4,113,50.08,-120.65
AAFC5,4.080593008435298,12.613336293633138,36.84091881513503,796.577690697553,23.491860215053762,-10.745440860215053,34.23730107526882,-4.968258482676224,-0.2522163772504431,13.804683333333335,-5.655075755984015,479.48033333333325,55.47266666666666,27.938666666666666,25.56950565666475,152.958,86.405,119.53566666666667,127.798,AAFC5,114,50.09,-120.45
AAFC6,7.4869423841746565,11.993523386802503,34.86361854647829,835.0353788706883,26.963440860215055,-7.4378172043010755,34.40125806451613,-2.0651869772998808,3.144769536698625,17.688589486260454,-2.7745280738151155,359.44066666666663,43.84733333333333,17.833666666666666,29.50679711766916,122.65933333333334,61.39166666666667,82.86466666666666,100.90066666666668,AAFC6,115,50.09,-120.75
AAFC8,6.505242028363378,11.959060035327319,35.459015369250004,814.9174004102359,25.82869892473118,-7.897731182795699,33.72643010752688,-2.797132855436081,16.1069554958184,16.417874014336917,-3.495490787382806,479.57699999999994,61.537333333333336,24.774666666666665,31.99249409050706,177.572,84.23566666666667,96.81333333333333,151.78799999999998,AAFC8,116,49.57,-120.55
AAFC9,7.128121542233874,10.404082276162226,32.388145464629936,814.3918790483406,25.8612688172043,-6.261849462365591,32.123118279569894,-1.876910633213859,2.4969736838697907,17.25904653524492,-2.6342193268828975,451.60966666666667,55.477,26.886333333333333,26.71728304071649,139.3936666666667,85.07466666666667,114.54533333333333,122.68033333333334,AAFC9,117,49.62,-119.8
Adler11,10.030989235136337,15.703711968839569,40.24612759266447,861.5962022006581,31.838731182795698,-7.180456272401433,39.019187455197134,8.954034647550777,21.072363620071684,21.072363620071684,-0.2454231072443808,362.4496666666667,39.565,15.617,22.94962802907175,111.39633333333333,61.13166666666667,61.13166666666667,98.426,Adler11,122,38.83,-112.05
Adler13,5.558662024861546,15.530150388365085,38.433693243878125,911.7539070697057,28.316774193548387,-12.090870967741935,40.40764516129032,9.485888888888889,16.877167502986858,16.877167502986858,-5.728275078570545,320.2323333333334,42.660000000000004,14.631,24.433332227495324,101.54466666666667,64.33233333333334,64.33233333333334,70.895,Adler13,123,41.44,-111.08
Adler14,4.523255929501326,13.839696224641136,36.2434255083609,887.5489816005579,26.062612903225805,-12.122784946236559,38.18539784946236,-6.250144979724678,15.691392054958184,15.691392054958184,-6.250144979724678,540.3243333333334,61.41566666666667,15.695666666666666,32.43963986681714,171.39133333333334,72.42633333333333,72.42633333333333,171.39133333333334,Adler14,124,41.81,-111.25
Adler16,4.703196233984263,16.105141909735096,37.82126823556503,959.9304788067599,28.36624731182796,-14.215989247311828,42.58223655913979,8.99181917562724,-7.141939078399869,16.688828733572283,-7.141939078399869,198.40699999999998,33.076,10.895333333333333,38.05392793817368,72.779,33.849333333333334,46.239,33.849333333333334,Adler16,125,41.78,-110.2
Adler17,5.559160663634197,15.314385319005243,37.60716409505017,932.6439144054707,28.28463440860215,-12.437354838709677,40.721989247311825,9.585438410991637,-5.791672877123905,17.32362054958184,-5.791672877123905,214.861,31.610333333333333,9.056333333333333,34.75494494648866,75.16366666666667,31.742666666666665,53.95866666666667,31.742666666666665,Adler17,126,41.44,-110.11
Adler18,10.134117443286485,14.832486253023642,35.54599371920145,964.2616229455653,33.686139784946235,-8.041449462365591,41.727589247311826,9.442,22.46917909199522,22.46917909199522,-1.387214695193366,177.132,26.494999999999997,7.445,35.751911863289685,64.85866666666666,27.99,27.99,42.36266666666667,Adler18,127,40.86,-114.22
Adler2,12.505810796424305,10.788052250222174,28.338219094761715,987.4982156979227,34.053709677419356,-4.0152043010752685,38.06891397849462,11.600550179211469,24.509676821983277,25.17908422939068,0.7106715011094042,436.1006666666667,63.08233333333333,13.863666666666667,35.88498901555043,145.58433333333335,59.45966666666667,61.485,129.00466666666668,Adler2,119,41.05,-112.25
Adler5,10.862548128358377,11.834726646303064,31.889273604300413,919.0354556111942,31.927021505376345,-5.184913978494624,37.111935483870965,9.810296117084826,22.628583452807646,22.628583452807646,-0.09242385454738071,618.2889999999999,85.54599999999999,16.966666666666665,39.5458974082578,224.99466666666666,71.002,71.002,177.93166666666667,Adler5,121,40.79,-111.87
Arcata1,12.953746918975227,9.941149681156606,52.36738256454068,346.7081390949522,23.466139784946236,4.4826634408602155,18.98347634408602,8.965508225482752,17.466387873357228,17.466387873357228,8.965508225482752,1244.8410000000001,245.47333333333333,4.019666666666667,81.50050265753686,631.6223333333332,29.277333333333335,29.277333333333335,631.6223333333332,Arcata1,295,40.876563,-123.997177
ArkansasValley_CO,6.267970895240744,17.366131027199533,43.26842428876038,835.0052477216188,27.561709677419355,-12.57409677419355,40.13580645161291,16.016487574671448,-2.6222427120669054,16.822107945041818,-3.894105606611697,280.005,43.794,11.248,47.00105645294853,112.76666666666667,37.271,105.94433333333333,37.292,ArkansasValley_CO,253,38.8157,-106.08334
Barnett1,4.020945659198051,15.428003366615464,38.02891421508584,899.9007293492601,26.93647311827957,-13.632666666666667,40.56913978494624,-5.888398446833929,14.66122341696535,15.080634528076464,-7.120477100364308,636.3836666666666,73.65133333333334,26.142,27.711404964536847,211.47200000000004,98.463,105.87333333333333,207.51,Barnett1,128,43.48,-110.74
Baughman2,9.35233231349795,15.150103669641753,40.10331984952265,802.1355530606032,31.851956989247313,-5.925722580645162,37.77767956989248,8.089740501792114,19.552167741935484,19.617138112305856,0.10599878804197498,368.2696666666667,51.42166666666667,4.808666666666666,50.413924849393965,132.99133333333333,21.49133333333333,38.727,117.70666666666666,Baughman2,129,43.05,-118.87
Baughman3,9.096353998012194,14.639868171498607,39.636540086822905,790.2801841498944,31.089,-5.846282795698925,36.935282795698924,7.589689545997611,19.270597550776582,19.272740143369173,0.12348427161867088,439.45399999999995,57.9,5.209,50.80458683803988,156.99333333333334,24.686999999999998,44.489333333333335,143.70066666666668,Baughman3,130,42.81,-118.96
Baughman5,7.637556330336176,14.377080130112237,41.21885822210734,728.2092389721923,28.476645161290325,-6.403215053763441,34.87986021505377,5.927490023894863,17.110591338112304,17.110591338112304,-0.50534361533391,395.0886666666667,50.27466666666667,5.553666666666667,49.973333086972545,142.85766666666666,26.303000000000004,26.303000000000004,135.51433333333333,Baughman5,131,42.72,-120.08
Blumenthal4,3.7360469462321455,15.518194592683816,40.63925221112576,834.0222189050868,25.268548387096775,-12.916688172043012,38.18523655913979,7.353878136200717,-6.391776850674765,14.205712425328556,-6.391776850674765,397.40200000000004,45.53966666666667,25.531666666666666,19.0554867487439,123.471,80.339,99.65033333333332,80.339,Blumenthal4,133,40.7,-106.24
Blumenthal7,4.001623826922624,13.733221770735856,37.34121557515674,846.1643558432094,25.061655913978495,-11.715994623655915,36.77765053763441,2.8477100955794508,14.822217562724013,14.822217562724013,-6.06586741632384,599.6476666666666,80.35433333333333,23.71966666666667,33.210677180312636,212.56799999999998,86.32333333333334,86.32333333333334,157.41566666666665,Blumenthal7,135,41.54,-106.39
Board1,8.276844047324776,13.631139871167846,38.4924524763913,785.9825877397349,28.009462365591396,-7.403037992831541,35.41250035842294,6.6713148148148145,18.163449581839902,18.52021624850657,-0.7180911344762846,268.78400000000005,38.907,10.715,37.16203751380242,99.54733333333333,36.32066666666667,39.237,77.33933333333333,Board1,138,38.84,-117.57
BoiseHigh,8.034080625445085,12.636035110587308,35.77821401698745,817.070905725963,28.87510752688172,-6.442572401433692,35.317679928315414,-0.695627001194743,18.463454540023893,18.54779157706093,-1.3168472712184613,464.769,61.70633333333333,6.058666666666666,48.2189953241754,165.52633333333333,30.88133333333333,49.16066666666667,160.79233333333332,BoiseHigh,294,43.208482,-116.995198
Bradford1,7.698158365740005,16.722542087107367,46.478857244516625,732.0603871706396,26.968032258064515,-9.010782795698924,35.97881505376344,16.52933817204301,10.641748028673835,17.08383632019116,-0.9594815908034205,573.6173333333334,92.04933333333334,9.422333333333333,46.87994799283742,217.95833333333334,58.49733333333334,178.96433333333334,166.405,Bradford1,139,35.23,-111.62
ChacoCanyon_NM,10.652194891259247,17.92357818512339,43.64021780644175,885.3628547714901,32.35341935483871,-8.71781971326165,41.071239068100354,20.92105615292712,14.84330800477897,21.789711708482674,-0.1292357874122335,209.16433333333333,31.075,9.934666666666667,41.47185433049975,88.92933333333333,35.43333333333333,71.06333333333333,41.93633333333334,ChacoCanyon_NM,254,36.01613,-107.92401
Chambers1,12.373377107831454,14.406641023609419,39.12047236621337,818.0468799959006,33.47216129032258,-3.354186021505376,36.82634731182796,2.9087284432732425,22.612082676224613,22.899073416965354,2.9087284432732425,239.66666666666669,40.103,6.234,54.74462058381976,108.55566666666667,20.086333333333336,27.289,108.55566666666667,Chambers1,140,39.55,-119.58
Chambers2,11.421578641538806,17.377054933906575,41.95678842681049,861.0228389135032,34.8464623655914,-6.570089247311828,41.41655161290323,1.3285067405877196,21.907201373954603,22.453508781362007,1.3285067405877196,155.252,22.126,2.492,45.53591415262517,54.739999999999995,11.472333333333333,17.431333333333335,54.739999999999995,Chambers2,141,39.95,-118.76
Chambers4,10.408482266046637,16.298580207211423,40.91952581238064,840.2680360995021,33.75506451612903,-6.075749462365591,39.830813978494625,1.267893906810036,20.93214504181601,21.216978375149342,0.6480661609607385,319.30499999999995,47.674,3.4726666666666666,52.70218617018599,120.349,19.229,24.511,118.40233333333332,Chambers4,142,41.31,-117.63
Chambers5,9.552145247879771,15.098784375055176,39.74415868737724,819.2006726409245,31.840655913978495,-6.149289964157706,37.9899458781362,0.7530748506571086,19.918947849462366,20.084455256869774,0.10544992819770356,381.65500000000003,57.59066666666667,3.4919999999999995,54.55007768114448,146.81466666666665,20.678333333333335,28.328,145.74,Chambers5,143,41.54,-117.75
