"SiteCode","UniqueID","SampleDescription","pH","EC","OMpercent","Protein_g.kg","X..Sand","X..Clay","X..Silt","site_old"
"PMR- Brome",35,"PMR-Brome 7/12/22 #2",5.66,324.2,12.84,23.05,57.784,14.216,28,"PMR- Brome"
"PMR- Brome",36,"PMR-Brome 7/12/22 #3",6.31,340.8,9.79,NA,62,12,26,"PMR- Brome"
"PMR- Brome",36,"PMR-Brome 7/12/22 #3",6.31,340.8,9.79,NA,57.784,14.216,28,"PMR- Brome"
"PMR- Pine",37,"PMR-Pine 7/19/22 #1",6.06,284.1,5.49,14.75,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",37,"PMR-Pine 7/19/22 #1",6.06,284.1,5.49,14.75,71.928,8.072,20,"PMR- Pine"
"PMR- Pine",38,"PMR-Pine 7/19/22 #2",5.61,396.8,5.91,15.71,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",38,"PMR-Pine 7/19/22 #2",5.61,396.8,5.91,15.71,71.928,8.072,20,"PMR- Pine"
"PMR- Pine",39,"PMR-Pine 7/19/22 #3",5.42,154.3,4.8,10.1,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",39,"PMR-Pine 7/19/22 #3",5.42,154.3,4.8,10.1,71.928,8.072,20,"PMR- Pine"
"PMR- Pine",40,"PMR-Pine 7/21/22 #1",5.93,247.1,4.46,15.08,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",40,"PMR-Pine 7/21/22 #1",5.93,247.1,4.46,15.08,71.928,8.072,20,"PMR- Pine"
"PMR- Pine",41,"PMR-Pine 7/21/22 #2",5.77,169.9,3.04,8.96,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",41,"PMR-Pine 7/21/22 #2",5.77,169.9,3.04,8.96,71.928,8.072,20,"PMR- Pine"
"PMR- Pine",42,"PMR-Pine 7/21/22 #3",5.34,163.4,2.87,9.54,72,8.072,19.928,"PMR- Pine"
"PMR- Pine",42,"PMR-Pine 7/21/22 #3",5.34,163.4,2.87,9.54,71.928,8.072,20,"PMR- Pine"
"Symstad2",43,"Symstad S2 (Pasture) #1",7.67,365.7,7.26,6.73,50.072,18.072,31.856,"Symstad2"
"Symstad2",44,"Symstad S2 (Pasture) #2",7.6,218.2,6.28,5.31,50.072,18.072,31.856,"Symstad2"
"Symstad2",45,"Symstad S2 (Pasture) #3",7.85,266.9,7.04,6.94,50.072,18.072,31.856,"Symstad2"
"Peavine",46,"Peavine Urza+Shriver #1",6.67,352.9,4.02,3.94,68.2518201055584,10.529213303539,21.2189665909026,"Peavine"
"Peavine",47,"Peavine Urza+Shriver #2",6.4,447.7,4.33,4.23,68.2518201055584,10.529213303539,21.2189665909026,"Peavine"
"Peavine",48,"Peavine Urza+Shriver #3",5.81,578.9,5.53,6.64,68.2518201055584,10.529213303539,21.2189665909026,"Peavine"
"Plymouth",49,"Plymouth #1",5.64,64.03,1.24,1.35,58.3218178260058,18.6969245899387,22.9812575840555,"Plymouth"
"Plymouth",50,"Plymouth #2",6.09,60.69,1.57,2.74,58.3218178260058,18.6969245899387,22.9812575840555,"Plymouth"
"Plymouth",51,"Plymouth #3",5.55,81.08,2.15,3.87,58.3218178260058,18.6969245899387,22.9812575840555,"Plymouth"
"FtK_Cottonwood_Coulee",52,"Fort Keogh Cottonwood Coulee 6/17/22 #1",6.21,65.81,1.56,2.19,67.3826242174958,9.39967441828474,23.2177013642194,"FtK_Cottonwood_Coulee"
"FtK_Cottonwood_Coulee",53,"Fort Keogh Cottonwood Coulee 6/17/22 #2",5.52,64.01,2.69,3.68,67.3826242174958,9.39967441828474,23.2177013642194,"FtK_Cottonwood_Coulee"
"FtK_Cottonwood_Coulee",54,"Fort Keogh Cottonwood Coulee 6/17/22 #3",6.43,63.02,2.62,3.7,67.3826242174958,9.39967441828474,23.2177013642194,"FtK_Cottonwood_Coulee"
"dino",55,"DINO 6/10/24 #1",8.18,231.8,1.12,0.75,68.144,14.072,17.784,"dino"
"dino",56,"DINO 6/10/24 #2",8.54,211.2,1.04,0.72,68.144,14.072,17.784,"dino"
"dino",57,"DINO 6/10/24 #3",8.2,208.3,1.24,1.09,68.144,14.072,17.784,"dino"
"dino",58,"DINO 6/10/24 #4",8.43,187.6,1.04,0.69,68.144,14.072,17.784,"dino"
"CaseAoyamaS1",59,"Case Aoyama SI 6/9/22 #1",6.42,122.4,5.7,5.96,51.928,12.144,35.928,"CaseAoyamaS1"
"CaseAoyamaS1",60,"Case Aoyama SI 6/9/22 #2",6.61,112.3,5.26,4.88,51.928,12.144,35.928,"CaseAoyamaS1"
"CaseAoyamaS1",61,"Case Aoyama SI 6/9/22 #3",6.82,118,6.82,8.9,51.928,12.144,35.928,"CaseAoyamaS1"
"Pearlwise",62,"Pearl Wise #1",6.08,95.83,3.6,2.58,58,14.144,27.856,"Pearlwise"
"Pearlwise",63,"Pearl Wise #2",6.05,99.09,3.99,3.25,58,14.144,27.856,"Pearlwise"
"Pearlwise",64,"Pearl Wise #3",6.15,93.3,3.4,2.59,58,14.144,27.856,"Pearlwise"
"EnsingS3 Bear Creek",65,"Ensing S3 Kelowna, BC (E) #1",7.8,230.4,5.49,10.48,66.072,9.928,24,"EnsingS3 Bear Creek"
"EnsingS3 Bear Creek",66,"Ensing S3 Kelowna, BC (S) #2",7.91,178.7,5.69,12.33,66.072,9.928,24,"EnsingS3 Bear Creek"
