"site","site_old","year","Treatment","Transect","Distance","Emerged","Reproduced","neighbors","Fecundity","Biomass","fecundityflag","notesFlag","Lat","Lon","annual","unknown","perennial","shrub","Type","plantID","albedo","x","y","genotype","block","plot","note_standard_harvest","note_standard_phen","Transect_Site_Year","total_precip","MAT","seasonality","prcp.Spr","prcp.Sum","prcp.Win","prcp.Fall","tmean.Spr","tmean.Sum","tmean.Win","tmean.Fall","swe_mean.Spr","swe_mean.Sum","swe_mean.Win","swe_mean.Fall","prcp_center30d_mean","tmin_center30d_mean","tmax_center30d_mean","tavg_center30d_mean","tmin_center30d_min","tmax_center30d_max","pH","EC","OMpercent","Protein_g.kg","site_year","site_numeric","site_year_numeric","year_numeric","NewSiteCode","SeedSource","sample.id.x","kinshipID","sample.id.y","source","neighbors.s","perennial.s","shrub.s","annual.s","Dataset","plot_index","idx","idx_site","r_train","e_train","Obs_Fitness","Obs_Fitness_log","Predicted_Fitness_PostPred","Predicted_Fitness_log_PostPred","Predicted_Fitness","Predicted_Fitness_log","Predicted_Fitness_fixed","Predicted_Fitness_log_fixed","Predicted_Fitness_PostPred_fixed","Predicted_Fitness_log_PostPred_fixed"
"CastValley","CastValley","2021","control","E",2.2,"Y","N",2,0,0,0,NA,38.677,-109.417,10,0,0,0,"Satellite","609",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.315132502059027,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,1.029,-Inf,0.955055062495016,2.94883273339488,15.4248993139014,2.57910642788513,15.861,-Inf
"CastValley","CastValley","2021","control","E",2.4,"Y","N",0,0,0,0,NA,38.677,-109.417,5,0,0,0,"Satellite","610",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,-0.315132502059027,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,1.05966666666667,-Inf,1.05459481151498,3.09059396852966,17.4634553392348,2.6998758900057,16.747,-Inf
"CastValley","CastValley","2021","control","E",2.6,"Y","N",2,0,0,0,NA,38.677,-109.417,10,0,1,0,"Satellite","611",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,-0.232261484933094,-0.108544113731669,0.78646736291101,"Training",0,3,3,0,1,0,-Inf,0.987666666666669,-Inf,0.92430088694102,2.92840824111415,14.9930111463814,2.5502716152173,15.1066666666667,-Inf
"CastValley","CastValley","2021","control","E",2.8,"Y","N",0,0,0,0,NA,38.677,-109.417,5,0,1,0,"Satellite","612",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,-0.232261484933094,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,1.20166666666667,-Inf,1.02047045571786,3.06991341860859,16.9705770541454,2.67081220438382,17.222,-Inf
"CastValley","CastValley","2021","control","E",3,"Y","N",4,0,0,0,NA,38.677,-109.417,5,0,2,0,"Satellite","613",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.220969357419644,-0.149390467807162,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,0.817333333333335,-Inf,0.76044582590965,2.72896069627498,12.193217038905,2.34562734717642,11.7553333333333,-Inf
"CastValley","CastValley","2021","control","E",3.2,"Y","N",4,0,0,0,NA,38.677,-109.417,5,0,0,0,"Satellite","614",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.220969357419644,-0.315132502059027,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,1,0,-Inf,1.04866666666667,-Inf,0.81174415759295,2.76906250711589,12.9015265816028,2.4029423665369,13.5513333333333,-Inf
"CastValley","CastValley","2021","control","E",3.4,"N","N",2,0,0,0,NA,38.677,-109.417,0,0,50,0,"Satellite","615",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,3.8284183542376,-0.108544113731669,-0.266668381498529,"Training",0,3,3,0,0,0,-Inf,0.171,-Inf,0.17149428993555,1.96382629222475,3.38384023375205,1.02749961079477,3.595,-Inf
"CastValley","CastValley","2021","control","E",3.6,"N","N",2,0,0,0,NA,38.677,-109.417,5,0,10,0,"Satellite","616",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.436933225386833,0.513577669200298,-0.108544113731669,0.259899490706241,"Training",0,3,3,0,0,0,-Inf,0.788000000000001,-Inf,0.666516329389047,2.72632754294121,11.2851388951456,2.26151208099267,10.9843333333333,-Inf
"CastValley","CastValley","2021","control","E",3.8,"N","N",0,0,0,0,NA,38.677,-109.417,2,0,3,0,"Satellite","617",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,-0.0665194506812293,-0.108544113731669,-0.0560412326166212,"Training",0,3,3,0,0,0,-Inf,1.11766666666667,-Inf,0.937646380573488,3.01607038642025,15.7686881119437,2.59605286139442,15.9623333333333,-Inf
"CastValley","CastValley","2021","control","E",4,"N","N",0,0,0,0,NA,38.677,-109.417,3,0,40,0,"Satellite","618",NA,NA,NA,83,NA,NA,NA,NA,"E - CastValley - 2021",201.96,14.2217260273973,197,26.77,81.87,54.09,39.23,20.2799450549451,26.0540555555556,3.73102150537634,7.18247252747253,0,0,0,0.0189010989010989,0.547258064516129,-5.21435483870968,7.02,0.902822580645161,-11.32,17,8.41333333333333,343.5,0.41,0.166666666666667,"CastValley 2021",6,7,0,"Reed1","ghS1",197,68,197,"Reed01",-0.652897093354021,2.99970818297827,-0.108544113731669,0.0492723418243327,"Training",0,3,3,0,0,0,-Inf,0.292999999999998,-Inf,0.276744159961777,2.29635568321758,5.35288063289099,1.49218233292871,6.31366666666666,-Inf
